show_a,show_b,cosine_similarity
"Carlos ""El Mono"" Sánchez",Zip-Zup,0.5705534418803245
Bombo Fica,Juan Pablo López,0.5699524748567173
El Pampero,Sandy,0.5688333127278542
Dino Gordillo,El Huaso Clavel,0.5682902216043504
León Murillo,Álvaro Salas,0.5680203180899813
Alex Ortiz,Huaso Filomeno,0.5680189566022754
Alejandra Azcárate,Belén Mora,0.5677864443720911
Dino Gordillo,Zip-Zup,0.567453244579738
Hugo Goodman,Lucho Navarro,0.5644623604546454
Mauricio Palma,Rodrigo Villegas,0.564239362466555
Memo Bunke y Natalia Cuevas,Stefan Kramer,0.5639092839939484
Dino Gordillo,Los Indolatinos,0.5629159256902702
Dinamita Show,Ruperto,0.5618271250889829
Hugo Varela,Melón y Melame,0.5615978886041973
Arturo Ruiz-Tagle,Pedro Ruminot,0.5611415052204768
Gloria Benavides,Rodrigo Villegas,0.5610246605153714
Belén Mora,Lucho Miranda,0.5595322078184187
Álvaro Salas,Óscar Gangas,0.5584930301174333
Sandy,Álvaro Salas,0.5582629242165171
"Carlos ""El Mono"" Sánchez",Natalia Valdebenito,0.5575862359393355
Melón y Melame,Álvaro Salas,0.5556787600635931
Melón y Melame,Payahop,0.5552760118752513
Arturo Ruiz-Tagle,Álvaro Salas,0.5546782993442805
Ernesto Belloni,Julio Sabala,0.5545445380146138
"Daniel Muñoz ""El Carmelo""",Felipe Avello,0.5542903789390982
Alejandra Azcárate,Coco Legrand,0.5528378317867871
Diego Urrutia,Mauricio Palma,0.5510789013942118
Rodrigo González,Rodrigo Villegas,0.5508377070862113
Dinamita Show,León Murillo,0.5508105001536846
Los Locos del Humor,Álvaro Salas,0.5504570937598768
Fabrizio Copano,Juan Pablo López,0.5480732772557315
"Daniel Muñoz ""El Carmelo""","Paul Vásquez ""El Flaco""",0.5474200000042915
Centella,Paulo Iglesias,0.5473149438208746
Centella,Coco Legrand,0.5468269666496764
Jorge Alís,Rodrigo González,0.5466828336486933
Carlos García,Felo,0.5452559726888914
Payahop,Stefan Kramer,0.5446650405632756
Los Locos del Humor,Luis Slimming,0.5432393305872975
Natalia Cuevas,Rudy Rey,0.5430925467255161
Jani Dueñas,"Paul Vásquez ""El Flaco""",0.542885745741463
Felo,Mauricio Palma,0.5406457567945437
Dino Gordillo,Hermógenes Conache,0.5397611046546736
Arturo Ruiz-Tagle,Palta Meléndez,0.5392816445424385
Arturo Ruiz-Tagle,Juan Pablo López,0.5391583726303318
Hugo Varela,Los Locos del Humor,0.5389182159378182
Hugo Varela,Natalia Valdebenito,0.5382625142431787
Carlos García,Sandy,0.5380143753309989
Edmundo Arrocet,El Huaso Clavel,0.5378975041873452
Ernesto Belloni,Memo Bunke y Natalia Cuevas,0.5376717598365252
Coco Legrand,Hugo Varela,0.5365582443418432
Diego Urrutia,Jorge Alís,0.5360345472819118
Los Indolatinos,Pujillay,0.5355714408328697
"Daniela ""Chiqui"" Aguayo",Sarah Sanders,0.5353464033019841
Rodrigo Villegas,Sergio Freire,0.5353001933643743
Dino Gordillo,Sarah Sanders,0.5350316108458765
León Murillo,Palta Meléndez,0.534519807991388
Coco Legrand,Álvaro Salas,0.5343397351000312
Huaso Filomeno,Los Locos del Humor,0.5336978076304564
Carlos García,Julio Sabala,0.5323836761544991
Coco Legrand,Fabrizio Copano,0.5316776398022778
Hermógenes Conache,Los Locos del Humor,0.5284744588711437
Rodrigo González,Sergio Freire,0.5280419213096523
Dinamita Show,Melón y Melame,0.52759529334217
Dinamita Show,Gloria Benavides,0.5249039069165707
Coco Legrand,Los Locos del Humor,0.5247925079297712
Hermógenes Conache,Óscar Gangas,0.5242738082621832
Los Locos del Humor,Rodrigo González,0.5240260313071483
Gloria Benavides,Pedro Ruminot,0.5230226810457153
Arturo Ruiz-Tagle,Rodrigo González,0.5224121749452171
Pedro Ruminot,Ricardo Meruane,0.5221808570523443
Jorge Alís,Palta Meléndez,0.5217229627219112
Arturo Ruiz-Tagle,Fabrizio Copano,0.5214931286437601
Coco Legrand,Luis Slimming,0.5209452152644807
Arturo Ruiz-Tagle,"Jorge ""Chino"" Navarrete",0.520853463565844
Jenny Cavallo,Sarah Sanders,0.520198063508669
Edo Caroe,Los Locos del Humor,0.5193359910118982
"Carlos ""El Mono"" Sánchez",Hugo Varela,0.5190575338575205
Coco Legrand,Huaso Filomeno,0.51900366030452
Mauricio Palma,Memo Bunke,0.5178218845020492
Arturo Ruiz-Tagle,Bombo Fica,0.5166291180439258
Dino Gordillo,Sandy,0.515856473280388
Fusión Humor,Los Locos del Humor,0.5135470652321861
Julio Sabala,Rodrigo González,0.5132765816822673
Fusión Humor,Sergio Freire,0.513114840603545
Coco Legrand,"Juan Luis ""Jajá"" Calderón",0.5121251717827955
Arturo Ruiz-Tagle,Dinamita Show,0.5120285022665026
Carlos Helo,Juan Pablo López,0.511211340240435
Alejandra Azcárate,Sarah Sanders,0.5109552431048374
Natalia Valdebenito,Zip-Zup,0.5102115534010193
Jani Dueñas,León Murillo,0.5096158327671126
Jani Dueñas,Natalia Valdebenito,0.5090874222182444
Arturo Ruiz-Tagle,Coco Legrand,0.5090073052199277
Bombo Fica,Pujillay,0.5087893271598718
Dino Gordillo,Palta Meléndez,0.5084541401676969
Los Locos del Humor,Memo Bunke,0.5081433857040316
Edo Caroe,Julio Sabala,0.5073561172609545
Hermógenes Conache,Álvaro Salas,0.5061598336104534
Hugo Varela,Álvaro Salas,0.5060333525647374
Arturo Ruiz-Tagle,Los Locos del Humor,0.5058686465741395
Juan Pablo López,Ricardo Meruane,0.504519866163206
Lucho Miranda,Luis Slimming,0.5030623263031629
Hugo Goodman,Memo Bunke y Natalia Cuevas,0.502392373500137
Pancho del Sur,Rudy Rey,0.5023836472452171
Los Locos del Humor,Melón y Melame,0.5023474159035191
Belén Mora,Sarah Sanders,0.5023047838509577
Payahop,Álvaro Salas,0.4983008067019553
Alison Mandel,Jenny Cavallo,0.4967986542320905
Lucho Miranda,Natalia Cuevas,0.4966725717226676
Pam Pam,Paulo Iglesias,0.4962222650552496
Palta Meléndez,"Paul Vásquez ""El Flaco""",0.49616729970164786
El Pampero,Stefan Kramer,0.49598807144000034
Pedro Ruminot,Stefan Kramer,0.495774082799631
Diego Urrutia,Stefan Kramer,0.4953981126784849
Alex Ortiz,Melón y Melame,0.4947157935553589
Arturo Ruiz-Tagle,Diego Urrutia,0.4943252076169747
Mauricio Palma,Rodrigo González,0.4940064469565672
Memo Bunke,Rudy Rey,0.4934375919890544
Felipe Avello,Lucho Miranda,0.49182692333851574
Ernesto Belloni,Mauricio Palma,0.4908923980179413
Payahop,Ruperto,0.49044297125130476
"Carlos ""El Mono"" Sánchez",Huaso Filomeno,0.48904817927875094
"Carlos ""El Mono"" Sánchez","Juan Luis ""Jajá"" Calderón",0.4889691299048066
Los Locos del Humor,Payahop,0.4886515047592181
Arturo Ruiz-Tagle,"Carlos ""El Mono"" Sánchez",0.4870634821866406
Julio Sabala,Rodrigo Villegas,0.4861705182470058
Hugo Goodman,Payahop,0.48578657975643486
Hermógenes Conache,Palta Meléndez,0.48564140371873643
Fusión Humor,Gloria Benavides,0.4855563213382194
"Juan Luis ""Jajá"" Calderón",Los Locos del Humor,0.48436551972215464
Carlos García,Hermógenes Conache,0.48430095874701257
Gloria Benavides,"Jorge ""Chino"" Navarrete",0.4842055191617117
George Harris,Ricardo Meruane,0.48419658351325373
Los Indolatinos,"Paul Vásquez ""El Flaco""",0.48384382465809034
Dinamita Show,Hugo Varela,0.4832811670337745
Los Indolatinos,Óscar Gangas,0.4829553981015252
Los Locos del Humor,Pedro Ruminot,0.482621966087772
"Daniela ""Chiqui"" Aguayo","Jorge ""Chino"" Navarrete",0.48114325313337003
Bastián Paz,Dinamita Show,0.4806639820985195
Diego Urrutia,Edo Caroe,0.48044370006305953
Fusión Humor,Melón y Melame,0.48010857181901156
Diego Urrutia,Memo Bunke,0.4799690625452926
Edo Caroe,Ernesto Belloni,0.47823997870733226
Millenium Show,"Paul Vásquez ""El Flaco""",0.47816462289511313
Fabrizio Copano,Hugo Varela,0.4776398527771126
Millenium Show,Pedro Ruminot,0.477375610836622
"Jorge ""Chino"" Navarrete",Álvaro Salas,0.47710448202576167
Gigi Martin,Ruperto,0.47675674470805013
Memo Bunke,Rodrigo Villegas,0.47589329115824025
