topic_final,birth_decade,active_decades,volatility_mean_abs_diff,mean_prevalence_pct,max_prevalence_pct
21,1970,6,3.6970371648992923,8.438363417694172,19.299495960523444
20,1970,5,7.004067641212953,6.165692417990261,19.54188577414964
1,1970,6,2.556374184585413,5.756837868860718,7.607253781143897
15,1970,5,4.121043150133011,4.836750187962314,13.863521840193327
2,1970,5,3.828069851823777,4.543491559178386,6.712682349562871
16,1970,6,3.3086692866812655,4.4687102319048835,9.649747980261722
13,1970,5,2.5218397433579955,4.062392852720637,7.3279800566951945
5,1970,4,3.4576582932829094,3.757334515115339,8.403582410520766
10,1970,6,3.983097648628589,3.493746039356134,9.649747980261722
0,1970,5,1.8521227466402999,3.33735339030171,5.052995966911255
30,1970,5,1.4141205704901394,3.1237331694661714,6.017308963614033
7,1970,6,2.05568674548862,2.8700061789098665,6.073241597352671
23,1970,5,1.6537721424192133,2.864198301442289,5.696014705896308
26,1970,5,2.892502239515995,2.8021177603667784,7.415745799608096
11,1970,5,1.9870648234251733,2.728562408293483,4.093700232302905
28,1970,3,2.437252375475375,2.709966924440756,6.648660674120496
14,1970,5,1.09018741449272,2.2252450380093958,3.2715467273117618
4,1980,5,4.878867757747866,7.442757143617217,15.241932661069766
8,1980,4,2.7584891279067545,4.162281341034934,9.649747980261722
25,1980,4,3.096802959534815,3.614629180318398,7.823364033126756
12,1980,5,1.1197252828405149,2.2599545695502363,3.7099373955374415
24,1990,4,1.0588493364742246,2.8594795785464435,4.410148494260363
9,1990,4,1.3502466049746544,2.6608978739033775,4.031552259536291
6,1990,3,2.2367352233007325,2.5379364625770586,7.031851069491118
31,1990,4,3.114830895428159,2.4122972058280743,6.9858257770587
19,1990,4,1.0113223835530227,2.3383199135641877,4.5392504960808
18,1990,4,1.699501904687573,2.336991300904322,4.512995690535898
27,1990,4,0.8789717279734284,2.2424067424918492,4.159076051812744
22,1990,4,1.4312840777296743,2.146870468357254,3.712539691957918
17,1990,4,0.9862452029566942,1.7350793889681366,3.5868883165139707
3,2000,3,1.7337336729750488,3.53830908901209,5.84475996911481
29,2000,3,1.2197958572128216,1.7197052153873724,3.6208305921414308
