topic_final,birth_year,active_years,volatility_mean_abs_diff,mean_prevalence_pct,max_prevalence_pct
7,1973,25,11.237333320393772,9.009092262829148,100.0
35,1973,12,5.535237249155336,6.985923166033395,51.21390828427867
13,1973,20,6.192740745105682,5.993173157090455,43.01712984932275
20,1973,17,7.532556096026688,5.493342562219657,38.50704175047828
5,1973,22,3.0931166680283524,2.839722195997486,13.44923713427245
23,1973,17,2.794167267984346,2.826326206018765,7.663277238035495
0,1974,41,9.6134657866329,14.811714974597214,52.00677589950197
1,1974,29,8.334246246339339,8.671985119489573,33.719047765290924
29,1974,19,9.293962236931868,5.953046578232834,59.496505120926436
24,1974,13,3.7953151154520017,3.8767650447561763,20.023089693021667
18,1974,21,3.3251199195314305,3.6564445873265665,10.363838186382601
16,1974,17,3.004630209505833,3.024663457741062,14.456144034921161
12,1974,20,2.974334393116799,2.949962856096181,9.93509838792553
19,1977,18,5.920663446078596,5.700532169784719,24.369926287629955
25,1977,17,4.4749535274538,4.396483584300884,24.204418172253643
36,1978,15,8.41278985417013,6.1042637220161735,50.44437987764265
2,1978,25,6.918678934864338,5.601985030486059,48.77476512316048
11,1978,22,3.670254547840788,5.3240922074851404,35.82085400303853
10,1978,24,3.640236271947697,3.697076492502763,16.143471155245397
33,1978,15,2.395628051168035,3.071644393033707,7.663277238035495
8,1978,22,2.095252050578499,3.0680911111459275,11.750801047205927
32,1979,13,8.574921791741366,7.3045893470503644,38.534427030603005
26,1979,16,3.9874186294985208,4.343763166873523,12.900893084047441
15,1979,18,3.7335549218959563,2.8672640975454065,13.900638601148762
14,1980,13,9.015756781000823,5.184179612252541,47.99322410049802
21,1988,19,3.2901144991668154,3.4909324824809005,25.308633297397076
9,1991,22,3.6076806882325876,3.928829202010765,13.864412237768624
28,1991,12,3.446650474949837,3.1508202993951877,15.929536881900356
31,1994,13,3.572744551783255,3.1939544746654627,13.63645795839591
34,1995,12,3.0642421873271606,2.921135845371114,9.470875437394403
27,1996,10,2.508682137170639,2.5633023221754168,9.292708246728829
37,1996,9,2.7681598219152446,2.367272934861562,8.165335875320832
30,1996,12,2.9535173439492617,2.166945575330925,9.36951261962193
4,2000,12,5.310824590041947,3.8473585058306776,39.74219062497313
