threshold,n_soft_segments,n_multi_segments,share_multi_over_soft,avg_gap_top1_top2,median_gap_top1_top2,avg_top2_p,median_top2_p,dir
0.05,3371,1454,0.43132601601898546,0.07449289839750584,0.041298540438339096,0.06977983782491937,0.06458756966020371,outputs\advanced_analysis_sweep\t005
0.08,2577,304,0.11796662786185487,0.07476859111461427,0.05372743091145045,0.09898509317129911,0.09341234951942365,outputs\advanced_analysis_sweep\t008
0.1,2153,108,0.05016256386437529,0.07064750858726578,0.05776122699525865,0.11875448047959104,0.1148503547834525,outputs\advanced_analysis_sweep\t010
0.12,1882,39,0.020722635494155154,0.05516759018796726,0.0408822388097699,0.13609586635421886,0.1331601529133461,outputs\advanced_analysis_sweep\t012
0.15,1595,8,0.005015673981191223,0.053706376126403776,0.0424477278975257,0.15686358234734346,0.15599485335232777,outputs\advanced_analysis_sweep\t015
0.2,1306,0,0.0,,,,,outputs\advanced_analysis_sweep\t020
