decade,topic_id,weighted_mass,decade_mass,prevalence_pct,topic_name
1970,0,0.098972624789956,19.82950924736009,0.4991178730413223,0_presidente_país_huevón_pesos
1970,1,3.82182729917527,19.82950924736009,19.27343360594802,1_canción_almas_cantar_vivo vivo
1970,2,2.1993185723612667,19.82950924736009,11.091139699556926,2_chiste_programa_hoy hoy_chistes
1970,4,0.3582625540388792,19.82950924736009,1.8067141731537044,4_chileno_chile_argentino_chilenos
1970,5,0.4577596060721032,19.82950924736009,2.308476727093208,5_colegio_niños_papá_hijo
1970,8,4.950032691403883,19.82950924736009,24.962961158823852,8_anthony_amas_your_you
1970,9,1.0,19.82950924736009,5.0429891507936855,9_auto_dijo dijo_micro_carabineros
1970,10,0.88098392725214,19.82950924736009,4.442792387156156,10_maestro_hora hora_ruperto_hora
1970,11,0.128613682953268,19.82950924736009,0.6485974077769493,11_hijos_mamá_papá_hijo
1970,12,2.0256326873252144,19.82950924736009,10.215243665674114,12_perro_perrito_selva_lobo
1970,13,0.2356863338593621,19.82950924736009,1.1885636246431015,13_ay ay_salta salta_salta_ay
1970,14,0.7051686921370832,19.82950924736009,3.5561580639266834,14_ho_ho ho_aplauso_muchas
1970,19,1.0946283846209095,19.82950924736009,5.520199067794065,19_través_mar_viña_viña mar
1970,20,0.3205450653184207,19.82950924736009,1.616505286741249,20_hermana_fea_curado_marihuana
1970,21,1.1041616158428824,19.82950924736009,5.568275049418482,21_buenas noches_noches_buenas_pecadora
1970,23,0.0853816768909281,19.82950924736009,0.43057887023752234,23_amante_marido_mujer_matrimonio
1970,24,0.2779968433171043,19.82950924736009,1.401935064803049,24_amor_dije_pa_pa pa
1970,27,0.0845369900014196,19.82950924736009,0.4263191234179134,27_soltera_bebé_arturo vidal_tinder
1980,1,0.8657531567168653,15.980322789703056,5.417619957431113,1_canción_almas_cantar_vivo vivo
1980,2,0.175610980846503,15.980322789703056,1.0989201104226642,2_chiste_programa_hoy hoy_chistes
