topic_final,birth_year,active_years,volatility_mean_abs_diff,mean_prevalence_pct,max_prevalence_pct
8,1971,21,6.092741297456786,8.346672533909782,64.33396487990373
3,1971,36,6.6611127175455405,7.201252266941295,54.21866550931362
1,1973,29,8.555769026489994,7.8252444730310495,31.369925518245285
12,1973,24,8.637295303822595,7.1513636418213755,63.56458361861707
2,1973,31,6.15143968088256,6.515107100780735,24.13987472073046
9,1973,33,7.552641225841944,6.3121923609782105,61.8156086111348
13,1973,25,4.543620384563162,5.378146549519239,24.743125437251486
29,1973,13,7.86108490785854,5.032766053119288,36.15703955656172
10,1973,31,5.172723263989035,4.397689456119286,19.001848569197026
19,1973,23,5.145673820166142,4.1961378868575485,36.15703955656172
0,1973,27,3.790164285216481,4.080181623691008,16.238327347637362
24,1973,22,3.007041751199399,3.191056487335158,9.84510239482557
27,1973,14,3.532734924095642,2.7842636248687214,18.653709603027316
25,1973,15,3.0787195174092368,2.657887565170212,8.875015534931414
17,1974,18,6.7520846022563115,6.000043403990105,32.963244814376225
4,1974,30,5.23083759072314,5.137165895245131,28.003510969018453
14,1974,27,2.940816554650473,4.375984122704428,21.584115450946964
23,1974,18,5.849305112928342,4.2144001380633425,18.653709603027316
5,1974,26,3.8510726003760176,3.864437823935196,13.869515159927802
20,1974,19,3.9448112348585265,3.3446327198424637,10.43915050676724
26,1974,10,3.207760860852916,2.99064568387121,13.377105822266548
11,1974,15,2.296379632072575,2.7194456291867986,15.802624351791163
6,1976,32,4.105857552699325,5.76366459885345,19.897152824511025
22,1977,20,3.5600289821875215,3.9032979078203978,27.068861127394904
21,1978,19,4.167614568872717,3.916590659255717,19.42772671368692
7,1988,31,4.369931730575602,6.5795519011357655,24.687916008318684
16,1990,15,3.943694983339508,3.2640212390653986,21.15135104375108
15,1992,16,4.248278166273155,4.0600988835652005,28.535134885428803
18,1993,19,3.411463520510707,3.966222306292288,18.389533248237584
28,1995,11,3.1364315072392297,2.634400008770031,8.050367751485673
