show_a,show_b,cosine_similarity
"Daniela ""Chiqui"" Aguayo",Javiera Contador,0.5992110231228335
Gloria Benavides,Piña Colada,0.5969699303449488
Coco Legrand,"Juan Luis ""Jajá"" Calderón",0.5957218247698113
Fusión Humor,Ricardo Meruane,0.5942365378351303
Gloria Benavides,Los Indolatinos,0.59309152032411
Coco Legrand,Ricardo Meruane,0.5925634549438763
Jorge Romero,Payahop,0.5920244884066842
Ricardo Meruane,Sandy,0.5910034868557253
Alex Ortiz,Dino Gordillo,0.5883707543349649
George Harris,Rodrigo Villegas,0.5881904841520808
Edo Caroe,Ricardo Meruane,0.5874857787037954
Pedro Ruminot,Rodrigo González,0.5870614312990017
Alejandra Azcárate,Natalia Valdebenito,0.5863393299709047
Alejandra Azcárate,Alison Mandel,0.584908903122872
Alex Ortiz,Juan Pablo López,0.5837162678349321
Fusión Humor,"Jorge ""Chino"" Navarrete",0.5825727502096238
Julio Sabala,Profesor Salomón y Tutu-Tutu,0.5809633577541383
Dinamita Show,"Jorge ""Chino"" Navarrete",0.5800040195948157
Jorge Romero,Lucho Navarro,0.5788463060764463
Dinamita Show,Los Indolatinos,0.5787618931741604
Coco Legrand,León Murillo,0.5786973831270843
Jappening con ja,Los Indolatinos,0.5786220989912484
Pamela Leiva,Rodrigo González,0.5779579621238294
Bombo Fica,Dinamita Show,0.5776271945666379
"Daniel Muñoz ""El Carmelo""",Edmundo Arrocet,0.5767064256740123
Bastián Paz,Ruperto,0.576672504942965
Gilberto Gless,Gloria Benavides,0.5761050417742304
Edo Caroe,Pamela Leiva,0.5755762531125865
Hugo Varela,Los Indolatinos,0.5749875580828073
Diego Urrutia,Stefan Kramer,0.5742579193325653
Rodrigo González,Óscar Gangas,0.5737638106253999
Hugo Goodman,Julio Sabala,0.5727827499978252
Coco Legrand,Los Indolatinos,0.5724528976628266
Centella,Ricardo Meruane,0.5718753253492852
Dinamita Show,"Paul Vásquez ""El Flaco""",0.5702767662396208
Gloria Benavides,Natalia Cuevas,0.5680463939347172
Fabrizio Copano,Álvaro Salas,0.5678694648512459
Lucho Miranda,Luis Slimming,0.5675626748254023
Edo Caroe,Stefan Kramer,0.5667301005013589
Dino Gordillo,Los Locos del Humor,0.5661386947357465
Carlos García,Gilberto Gless,0.5660764599655765
Arturo Ruiz-Tagle,Bombo Fica,0.5657541606697984
"Jorge ""Chino"" Navarrete",Luis Slimming,0.5653469105303744
Javiera Contador,Lucho Miranda,0.5649767920358424
