topic_final,birth_decade,active_decades,volatility_mean_abs_diff,mean_prevalence_pct,max_prevalence_pct
1,1970,6,5.470720375839339,8.250270347695476,19.504910205867745
9,1970,6,5.745599191777051,7.453522703376642,19.315538103397323
8,1970,3,7.478675541658387,6.709185879144275,25.235023616127883
2,1970,6,3.5431605616159985,6.133917776784085,10.363131670127682
12,1970,6,1.8846040502491825,5.612328090188622,8.923882823687974
13,1970,4,4.709768168591475,5.482638585644467,12.818768237827797
4,1970,6,2.959207531355368,4.92570177202458,8.832702961669728
14,1970,6,4.174516878115371,4.864816725328365,12.498965562373877
5,1970,5,2.29954531425754,4.56651095228951,10.02458021559666
19,1970,5,3.5865433467998455,4.296188688804311,9.698618122480886
0,1970,5,2.0297759253283942,4.19842163703517,7.817131559051614
10,1970,6,3.2922324125288527,4.108147196751716,8.137277339204394
21,1970,5,0.9970438375098178,3.6098551510118178,5.330357988539245
7,1980,5,6.428947153766328,6.6542739395811425,14.869396278984764
29,1980,5,3.1473288846370524,2.3213227308510502,6.038721687460537
18,1990,4,2.449210584949982,3.41872504013516,5.601481139991552
16,1990,4,1.732496480126805,2.818408968298378,6.05808151841059
23,1990,4,2.2163467222285953,2.3624556501623473,4.545247747766199
20,1990,4,0.6364671036271841,2.287195750366166,3.838134037513771
24,1990,4,0.716403885679375,2.0723594805592733,3.592380947993327
27,1990,3,2.0280044804469917,2.0183652384130673,4.58295832624258
25,1990,4,1.706511944735339,1.98463737336738,3.7878970815717192
26,1990,4,0.7242328294235617,1.7813662911355321,3.1757696030909477
15,2000,2,3.683213006850332,3.419266237926544,6.331179048539311
28,2000,3,0.8329697150842157,1.7457375762004648,3.42678457903343
11,2010,2,2.649827764810235,3.2844038062161816,10.944275392386027
