ID,FESTIVAL,YEAR,TV,DATE,SHOWID,VIDEO
96,XXXIX,1998,Megavision,1998-02-12,49,https://www.youtube.com/watch?v=jnt7VIfd1bQ
97,XXXIX,1998,Megavision,1998-02-13,50,https://www.youtube.com/watch?v=PjZ3_Q4wRmA
98,XXXIX,1998,Megavision,1998-02-14,17,https://www.youtube.com/watch?v=Lw3w1sNQT6c
99,XXXIX,1998,Megavision,1998-02-15,41,https://www.youtube.com/watch?v=DauaFsNPFZg
100,XL,1999,Megavision,1999-02-10,42,https://www.youtube.com/watch?v=RZYpVSGWkd0
101,XL,1999,Megavision,1999-02-11,36,https://www.youtube.com/watch?v=1q6_xvou9ww
102,XL,1999,Megavision,1999-02-12,41,
103,XL,1999,Megavision,1999-02-15,48,https://www.youtube.com/watch?v=J7yzuQ7GT4w
104,XLI,2000,Canal 13,2000-02-16,51,https://www.youtube.com/watch?v=IvI0VK4X0NU
105,XLI,2000,Canal 13,2000-02-17,52,https://www.youtube.com/watch?v=nTVNGBsuDek
106,XLI,2000,Canal 13,2000-02-18,36,
107,XLI,2000,Canal 13,2000-02-19,53,https://www.youtube.com/watch?v=dy7G_DSllHY
108,XLI,2000,Canal 13,2000-02-20,9,https://www.youtube.com/watch?v=Q_1ZvSEq-3k
109,XLI,2000,Canal 13,2000-02-21,41,https://www.youtube.com/watch?v=m52ugQyjiqg
110,XLII,2001,Canal 13,2001-02-21,43,
111,XLII,2001,Canal 13,2001-02-22,54,https://www.youtube.com/watch?v=ZkftijPisig
112,XLII,2001,Canal 13,2001-02-24,55,https://www.youtube.com/watch?v=2IWzEABB8tc
113,XLII,2001,Canal 13,2001-02-25,56,https://www.youtube.com/watch?v=iMY2JvmtoHg
114,XLIII,2002,Canal 13,2002-02-21,57,https://www.youtube.com/watch?v=9MxLJTpC1fI
115,XLIII,2002,Canal 13,2002-02-24,17,https://www.youtube.com/watch?v=e551t9_I4Wg
116,XLIV,2003,Canal 13,2003-02-20,58,
117,XLIV,2003,Canal 13,2003-02-21,59,https://www.youtube.com/watch?v=UlZHcETbpKs
118,XLIV,2003,Canal 13,2003-02-22,60,https://www.youtube.com/watch?v=9sm7HI5wyaU
119,XLIV,2003,Canal 13,2003-02-24,53,
120,XLV,2004,Canal 13,2004-02-18,36,https://www.youtube.com/watch?v=G9YMTMg7Gok
121,XLV,2004,Canal 13,2004-02-19,29,https://www.youtube.com/watch?v=-hptfevz95M
122,XLV,2004,Canal 13,2004-02-21,60,https://www.youtube.com/watch?v=Ca2pAtfB6d4
123,XLV,2004,Canal 13,2004-02-23,42,https://www.youtube.com/watch?v=2TrNcIyUaHY
124,XLVI,2005,Canal 13,2005-02-17,28,https://www.youtube.com/watch?v=YLmMUocUr6M
125,XLVI,2005,Canal 13,2005-02-18,61,https://www.youtube.com/watch?v=kPfcgMqohu4
