ROUTINEID,FESTIVAL,YEAR,TV,DATE,SHOW,VIDEO
84,XXXVI,1995,Megavision,1995-02-12,El Pampero,https://www.youtube.com/watch?v=5v8VG5rQ--Y
85,XXXVII,1996,Megavision,1996-02-14,Dino Gordillo,https://www.youtube.com/watch?v=BGQIHzlUxyw
86,XXXVII,1996,Megavision,1996-02-15,Los Indolatinos,https://www.youtube.com/watch?v=fyttbtYuqGc
87,XXXVII,1996,Megavision,1996-02-16,Dinamita Show,https://www.youtube.com/watch?v=RwU3g2QxaCI
88,XXXVII,1996,Megavision,1996-02-17,"Jorge Franco ""El Náufrago""",
89,XXXVII,1996,Megavision,1996-02-18,Paulo Iglesias,
90,XXXVIII,1997,Megavision,1997-02-19,Dino Gordillo,https://www.youtube.com/watch?v=bUuOIJSD4DE
91,XXXVIII,1997,Megavision,1997-02-20,Gilberto Gless,https://www.youtube.com/watch?v=ZtqiMiUWkPY
92,XXXVIII,1997,Megavision,1997-02-21,Jorge Pérez,https://www.youtube.com/watch?v=IQJbsLLTqKk
93,XXXVIII,1997,Megavision,1997-02-22,Palta Meléndez,https://www.youtube.com/watch?v=lOGtL-9mOtE
94,XXXVIII,1997,Megavision,1997-02-23,Pancho del Sur,https://www.youtube.com/watch?v=VoJOhHBD_RM
95,XXXIX,1998,Megavision,1998-02-11,Melón y Melame,https://www.youtube.com/watch?v=Ck2SgWnd5P8
96,XXXIX,1998,Megavision,1998-02-12,Óscar Gangas,https://www.youtube.com/watch?v=jnt7VIfd1bQ
97,XXXIX,1998,Megavision,1998-02-13,Sarah Sanders,https://www.youtube.com/watch?v=PjZ3_Q4wRmA
98,XXXIX,1998,Megavision,1998-02-14,Gloria Benavides,https://www.youtube.com/watch?v=Lw3w1sNQT6c
99,XXXIX,1998,Megavision,1998-02-15,Dino Gordillo,https://www.youtube.com/watch?v=DauaFsNPFZg
100,XL,1999,Megavision,1999-02-10,Los Indolatinos,https://www.youtube.com/watch?v=RZYpVSGWkd0
101,XL,1999,Megavision,1999-02-11,Sandy,https://www.youtube.com/watch?v=1q6_xvou9ww
102,XL,1999,Megavision,1999-02-12,Dino Gordillo,
103,XL,1999,Megavision,1999-02-15,Melón y Melame,https://www.youtube.com/watch?v=J7yzuQ7GT4w
104,XLI,2000,Canal 13,2000-02-16,Álvaro Salas,https://www.youtube.com/watch?v=IvI0VK4X0NU
105,XLI,2000,Canal 13,2000-02-17,"Daniel Muñoz ""El Malo""",https://www.youtube.com/watch?v=nTVNGBsuDek
106,XLI,2000,Canal 13,2000-02-18,Sandy,
107,XLI,2000,Canal 13,2000-02-19,Memo Bunke,https://www.youtube.com/watch?v=dy7G_DSllHY
108,XLI,2000,Canal 13,2000-02-20,Coco Legrand,https://www.youtube.com/watch?v=Q_1ZvSEq-3k
109,XLI,2000,Canal 13,2000-02-21,Dino Gordillo,https://www.youtube.com/watch?v=m52ugQyjiqg
110,XLII,2001,Canal 13,2001-02-21,Dinamita Show,
111,XLII,2001,Canal 13,2001-02-22,"Daniel Muñoz ""El Carmelo""",https://www.youtube.com/watch?v=ZkftijPisig
112,XLII,2001,Canal 13,2001-02-24,Memo Bunke y Natalia Cuevas,https://www.youtube.com/watch?v=2IWzEABB8tc
113,XLII,2001,Canal 13,2001-02-25,Millenium Show,https://www.youtube.com/watch?v=iMY2JvmtoHg
114,XLIII,2002,Canal 13,2002-02-21,Arturo Ruiz-Tagle,https://www.youtube.com/watch?v=9MxLJTpC1fI
115,XLIII,2002,Canal 13,2002-02-24,Gloria Benavides,https://www.youtube.com/watch?v=e551t9_I4Wg
116,XLIV,2003,Canal 13,2003-02-20,Mauricio Flores,
117,XLIV,2003,Canal 13,2003-02-21,Vanessa Miller,https://www.youtube.com/watch?v=UlZHcETbpKs
118,XLIV,2003,Canal 13,2003-02-22,Natalia Cuevas,https://www.youtube.com/watch?v=9sm7HI5wyaU
119,XLIV,2003,Canal 13,2003-02-24,Memo Bunke,
