show,year,topic_id,topic_mass,total_mass,p_topic_show_year
Alejandra Azcárate,2018,2,0.2575607078055177,11.34936273663391,0.022693847556229156
Alejandra Azcárate,2018,6,0.4285545039759413,11.34936273663391,0.037760226183681356
Alejandra Azcárate,2018,7,2.093161510605461,11.34936273663391,0.18442987145428646
Alejandra Azcárate,2018,11,2.483019193476377,11.34936273663391,0.2187804946494125
Alejandra Azcárate,2018,12,0.01979437235111449,11.34936273663391,0.0017440954889230433
Alejandra Azcárate,2018,13,0.11645126311686309,11.34936273663391,0.010260599279374269
Alejandra Azcárate,2018,15,0.8494034062513022,11.34936273663391,0.07484150660808163
Alejandra Azcárate,2018,17,0.1536383914203768,11.34936273663391,0.013537182217681428
Alejandra Azcárate,2018,23,1.5786095932126512,11.34936273663391,0.139092355213668
Alejandra Azcárate,2018,27,3.0861312234060683,11.34936273663391,0.2719211020936475
Alejandra Azcárate,2018,28,0.28303857101223867,11.34936273663391,0.024938719255014723
Alex Ortiz,2024,3,1.0,12.015673200280116,0.08322463363739682
Alex Ortiz,2024,5,4.340186334674477,12.015673200280116,0.36121041762131945
Alex Ortiz,2024,6,0.49510329104041617,12.015673200280116,0.04120479000950809
Alex Ortiz,2024,7,0.1777950193900363,12.015673200280116,0.014796925351289635
Alex Ortiz,2024,11,0.44799890260143327,12.015673200280116,0.0372845445389601
Alex Ortiz,2024,12,0.031181194777082456,12.015673200280116,0.0025950435116989987
Alex Ortiz,2024,13,0.3259373222460896,12.015673200280116,0.02712601423268496
Alex Ortiz,2024,16,2.3282261971311806,12.015673200280116,0.19376577228123212
Alex Ortiz,2024,18,0.5104258349983795,12.015673200280116,0.04248000311680249
Alex Ortiz,2024,19,1.2750898891306472,12.015673200280116,0.10611888887764705
Alex Ortiz,2024,22,1.0,12.015673200280116,0.08322463363739682
Alex Ortiz,2024,26,0.08372921429037396,12.015673200280116,0.0069683331840634626
Alison Mandel,2018,0,0.24823698598796445,11.68066896646542,0.021251949413226216
Alison Mandel,2018,2,1.1718385822678008,11.68066896646542,0.10032289979555854
Alison Mandel,2018,4,0.019767189492826458,11.68066896646542,0.0016922994350389525
Alison Mandel,2018,5,0.02120461629411935,11.68066896646542,0.0018153597499421202
Alison Mandel,2018,6,0.13659409117721394,11.68066896646542,0.01169402981707369
Alison Mandel,2018,7,1.1493848752739402,11.68066896646542,0.09840060347346227
Alison Mandel,2018,8,0.2311170365305164,11.68066896646542,0.019786284261119044
Alison Mandel,2018,9,0.10788392001942904,11.68066896646542,0.009236107994255983
Alison Mandel,2018,11,0.3283579801491076,11.68066896646542,0.02811123070877241
Alison Mandel,2018,15,0.07782831326732659,11.68066896646542,0.006663001364970409
Alison Mandel,2018,16,1.08253706153205,11.68066896646542,0.09267765952788803
Alison Mandel,2018,17,2.3635552064882384,11.68066896646542,0.2023475892753985
Alison Mandel,2018,18,0.08938246703914561,11.68066896646542,0.007652170204956405
Alison Mandel,2018,22,1.0820185562718683,11.68066896646542,0.09263326949666034
Alison Mandel,2018,23,1.1108347248738042,11.68066896646542,0.09510026592337747
Alison Mandel,2018,24,1.0,11.68066896646542,0.0856115349960646
Alison Mandel,2018,26,0.04214409439996816,11.68066896646542,0.003608020612600324
Alison Mandel,2018,27,1.4179832654001,11.68066896646542,0.1213957239496346
Alison Mandel,2024,0,0.02184916602184385,10.940762256727574,0.001997042391484981
Alison Mandel,2024,2,1.0,10.940762256727574,0.09140130975655658
Alison Mandel,2024,3,0.17281953805272474,10.940762256727574,0.015795932129542112
