year,n_segments
1971,3
1973,29
1974,21
1976,7
1977,25
1978,31
1979,25
1980,11
1984,10
1988,7
1989,38
1990,29
1991,62
1992,16
1993,55
1994,51
1995,92
1996,77
1997,94
1998,115
1999,86
2000,130
2001,91
2002,52
2003,36
2004,78
2005,98
2006,193
2007,97
2008,73
2009,41
2010,50
2011,73
2012,141
2013,142
2014,181
2015,213
2016,276
2017,289
2018,255
2019,136
2020,256
2023,233
2024,240
2025,310
