Topic,Words,Frequency,Timestamp
13,"ay ay, mosca, ay, sigue sigue, oh oh",59,2000
14,"ho, ho ho, muchísimas, corazón, alegres",17,2000
15,"mujeres, hombres, mujer, pensamiento, hombre",26,2000
16,"almorzar, teflón, llega cabro, ándale, sartén",8,2000
17,"natalia, nati, natalia cuevas, cuevas, li",20,2000
18,"doctor, remedios, viagra, pastillas, farmacia",21,2000
19,"sandy, festival, viña mar, viña, través",16,2000
20,"reír reír, jugar jugar, jugar, reír vamos, reír",19,2000
21,"burrito, planta, muchísimas, usted jardín, cuanto venga",19,2000
22,"cara dura, corazón, dura, muchísimas, palabra",20,2000
23,"cambian, pololos, canapé, cesante, marido",12,2000
24,"mano mano, dormir conmigo, costanera, entretención, caíste",12,2000
25,"bailar, sau, aquí allá, fiesta, sau sau",10,2000
26,"celular, computación, celulares, máquinas, dame celular",9,2000
27,"lona, novia, varones, chupa, fiesta",12,2000
28,"noticias, teleserie, noticia, lente, ahora escucha",6,2000
29,"rodeo, pasé, quedaron, bésame, yola",4,2000
0,"huevón, país, pesos, ley, huevones",205,2010
1,"almas, rima, canción, cantando, cantar",55,2010
2,"chiste, programa, ratón, higgins, amigo",80,2010
3,"humor, quinta vergara, vergara, escenario, quinta",61,2010
4,"chileno, chile, argentino, chilenos, país",105,2010
5,"colegio, padre, papá, hijo, niños",107,2010
6,"público, quinta, quinta vergara, vergara, gaviota",138,2010
7,"vieja, suegra, abuelita, abuela, olla",87,2010
8,"your, gonna, gonna do, do, sororidad",24,2010
9,"auto, micro, metro, maricón, carabinero",75,2010
10,"juan pérez, pérez, donald, relajado, casting",47,2010
11,"hijo, jesús, papá, hijos, mamá",64,2010
12,"caperucita, caperucita roja, perro, roja, cocodrilo",46,2010
13,"bomba, ay ay, bum, dale, ay",21,2010
14,"aplauso, muchas, vengan vengan, vengan, atletas",40,2010
15,"hombres, mujer, mujeres, hombre, pedo",95,2010
16,"comida, comer, pan, italiana, torta",56,2010
17,"chiqui, chiqui chiqui, alison, escenario, actriz",25,2010
18,"doctor, farmacia, consulta, examen, ginecólogo",59,2010
19,"hashtag, hashtag viña, viña 2016, 2016, competencia",15,2010
20,"hermana, fea, hedionda, colorín colorín, colorín",43,2010
21,"amable, buenas noches, noches, buenas, muchas",31,2010
22,"agradecer, verdad, emocionado, quiero agradecer, sueños",32,2010
23,"marido, tenis, amante, mírala, toallita",44,2010
24,"paul, dije, indio, pasó bien, blue",46,2010
25,"bailar, bailemos, discoteca, beto, fiesta",32,2010
26,"celular, teléfono, tablet, plan, tic",38,2010
27,"soltera, arturo vidal, tinder, vidal, sucio",34,2010
28,"noticias, ta, muestran, ta ta, tele",27,2010
29,"reggaeton, calmado, dale, ten, perreo",24,2010
0,"presidente, piñera, bolsa, chile, sismo",69,2020
1,"música, canción, dj, urbano, capo",42,2020
2,"hoy hoy, discapacidad, chiste, chistes, programa",79,2020
3,"humor, plaquito, quinta, comediante, quinta vergara",42,2020
4,"chile, chileno, gringo, the, chilenos",68,2020
5,"colegio, tac, tac tac, hijo, papá",120,2020
6,"gaviota, quinta, vergara, quinta vergara, público",64,2020
7,"suegra, pandemia, vieja, tía, abuela",39,2020
8,"pica, you, dueño dueño, just, quién importa",14,2020
9,"dijo dijo, loro, auto, carabineros, vidrio",47,2020
10,"carrete, famosa, bracitos, zorrón, okay",22,2020
11,"hijos, mamá, hija, papá, hijo",127,2020
12,"loro, genaro, don genaro, perro, lorito",18,2020
13,"va bien, digo va, abajo dos, bien digo, escucha",5,2020
14,"diego, cloro, muchas, aplauso, diego urrutia",18,2020
15,"cartero, cartero cartero, mujeres, flaite, jorge jorge",19,2020
16,"mamita, comida, hija, ensalada, mamá",45,2020
17,"javiera, javiera contador, contador, alison, chiqui",22,2020
18,"doctor, hipo, examen, farmacia, pastilla",20,2020
19,"viña 2024, 2024, volvemos, radios, tvn",12,2020
20,"jimmy, marihuana, lucho lucho, vino, curado",19,2020
21,"muchas muchas, venció, muchas, siento orgullosa, agradezco agradezco",10,2020
22,"verdad, agradecer, apagón, emocionado, quiero agradecer",17,2020
23,"lavar, loza, escuchado, 50 50, 30",18,2020
24,"dije, baño, vino vino, pam, pa",25,2020
25,"bailar, si juntamos, bonitas, malón, animo",15,2020
26,"teléfono, celular, alvarito, whatsapp, teléfono casa",15,2020
27,"subiste, nuevo huevón, flor, nube, ex",7,2020
28,"noticias, matinales, tele, informo, tvn",16,2020
29,"reggaeton, rumbera, box, perdón perdón, big",5,2020
