segment_idx,show,year
228,Pujillay,1990
229,Pujillay,1990
230,Pujillay,1990
231,Pujillay,1990
232,Pujillay,1990
233,Pujillay,1990
234,Pujillay,1990
235,Pujillay,1990
236,Palta Meléndez,1991
237,Palta Meléndez,1991
238,Palta Meléndez,1991
239,Palta Meléndez,1991
240,Palta Meléndez,1991
241,Palta Meléndez,1991
242,Palta Meléndez,1991
243,Palta Meléndez,1991
244,Palta Meléndez,1991
245,Palta Meléndez,1991
246,Palta Meléndez,1991
247,Palta Meléndez,1991
248,Palta Meléndez,1991
249,Palta Meléndez,1991
250,Palta Meléndez,1991
251,Palta Meléndez,1991
252,Palta Meléndez,1991
253,Palta Meléndez,1991
254,Palta Meléndez,1991
255,Palta Meléndez,1991
256,Palta Meléndez,1991
257,Palta Meléndez,1991
258,Palta Meléndez,1991
259,Palta Meléndez,1991
260,Palta Meléndez,1991
261,Palta Meléndez,1991
262,Palta Meléndez,1991
263,Palta Meléndez,1991
264,Palta Meléndez,1991
265,Palta Meléndez,1991
266,Palta Meléndez,1991
267,Palta Meléndez,1991
268,Palta Meléndez,1991
269,Palta Meléndez,1991
270,Hermógenes Conache,1991
271,Hermógenes Conache,1991
272,Hermógenes Conache,1991
273,Hermógenes Conache,1991
274,Hermógenes Conache,1991
275,Hermógenes Conache,1991
276,Hermógenes Conache,1991
277,Hermógenes Conache,1991
278,Hermógenes Conache,1991
279,Hermógenes Conache,1991
280,Hermógenes Conache,1991
281,Hermógenes Conache,1991
282,Hermógenes Conache,1991
283,Hermógenes Conache,1991
284,Hermógenes Conache,1991
285,Hermógenes Conache,1991
286,Hermógenes Conache,1991
287,Hermógenes Conache,1991
288,Hermógenes Conache,1991
289,Hermógenes Conache,1991
290,Hermógenes Conache,1991
291,Hermógenes Conache,1991
292,Hermógenes Conache,1991
293,Hermógenes Conache,1991
294,Hermógenes Conache,1991
295,Hermógenes Conache,1991
296,Hermógenes Conache,1991
297,Hermógenes Conache,1991
298,Lucho Navarro,1992
299,Lucho Navarro,1992
300,Lucho Navarro,1992
301,Lucho Navarro,1992
302,Lucho Navarro,1992
303,Lucho Navarro,1992
304,Lucho Navarro,1992
305,Lucho Navarro,1992
306,Lucho Navarro,1992
307,Lucho Navarro,1992
308,Lucho Navarro,1992
309,Lucho Navarro,1992
310,Lucho Navarro,1992
311,Lucho Navarro,1992
312,Lucho Navarro,1992
313,Lucho Navarro,1992
314,Sandy,1993
315,Sandy,1993
316,Sandy,1993
317,Sandy,1993
318,Sandy,1993
319,Sandy,1993
320,Sandy,1993
321,Sandy,1993
322,Sandy,1993
323,Sandy,1993
324,Sandy,1993
325,Sandy,1993
326,Sandy,1993
327,Sandy,1993
328,Sandy,1993
329,Sandy,1993
330,Sandy,1993
331,Sandy,1993
332,Sandy,1993
333,Sandy,1993
334,Sandy,1993
335,Sandy,1993
336,Sandy,1993
337,Sandy,1993
338,Sandy,1993
339,Sandy,1993
340,Sandy,1993
341,Sandy,1993
342,Sandy,1993
343,Sandy,1993
344,Sandy,1993
345,Sandy,1993
346,Sandy,1993
347,Piña Colada,1993
348,Piña Colada,1993
349,Piña Colada,1993
350,Piña Colada,1993
351,Piña Colada,1993
352,Piña Colada,1993
353,Piña Colada,1993
354,Piña Colada,1993
355,Piña Colada,1993
356,Piña Colada,1993
357,Piña Colada,1993
358,Piña Colada,1993
359,Piña Colada,1993
360,Piña Colada,1993
361,Piña Colada,1993
362,Piña Colada,1993
363,Piña Colada,1993
364,Piña Colada,1993
365,Piña Colada,1993
366,Piña Colada,1993
367,Piña Colada,1993
368,Piña Colada,1993
369,Julio Sabala,1994
370,Julio Sabala,1994
371,Julio Sabala,1994
372,Julio Sabala,1994
373,Julio Sabala,1994
374,Julio Sabala,1994
375,Julio Sabala,1994
376,Julio Sabala,1994
377,Julio Sabala,1994
378,Julio Sabala,1994
379,Julio Sabala,1994
380,Julio Sabala,1994
381,Julio Sabala,1994
382,Julio Sabala,1994
383,Julio Sabala,1994
384,"Jorge ""Chino"" Navarrete",1994
385,"Jorge ""Chino"" Navarrete",1994
386,"Jorge ""Chino"" Navarrete",1994
387,"Jorge ""Chino"" Navarrete",1994
388,"Jorge ""Chino"" Navarrete",1994
389,"Jorge ""Chino"" Navarrete",1994
390,"Jorge ""Chino"" Navarrete",1994
391,"Jorge ""Chino"" Navarrete",1994
392,"Jorge ""Chino"" Navarrete",1994
393,"Jorge ""Chino"" Navarrete",1994
394,"Jorge ""Chino"" Navarrete",1994
395,"Jorge ""Chino"" Navarrete",1994
396,"Jorge ""Chino"" Navarrete",1994
397,"Jorge ""Chino"" Navarrete",1994
398,"Jorge ""Chino"" Navarrete",1994
399,"Jorge ""Chino"" Navarrete",1994
400,"Jorge ""Chino"" Navarrete",1994
401,"Jorge ""Chino"" Navarrete",1994
402,"Jorge ""Chino"" Navarrete",1994
403,"Jorge ""Chino"" Navarrete",1994
404,"Jorge ""Chino"" Navarrete",1994
405,"Jorge ""Chino"" Navarrete",1994
406,"Jorge ""Chino"" Navarrete",1994
407,"Jorge ""Chino"" Navarrete",1994
408,"Jorge ""Chino"" Navarrete",1994
409,"Jorge ""Chino"" Navarrete",1994
410,"Jorge ""Chino"" Navarrete",1994
411,"Jorge ""Chino"" Navarrete",1994
412,"Jorge ""Chino"" Navarrete",1994
413,"Jorge ""Chino"" Navarrete",1994
414,"Jorge ""Chino"" Navarrete",1994
