segment_idx,topic_id_matrix,topic_id_assumed,p_topic
0,0,0,0.015721953460227044
0,1,1,0.03996118911380342
0,2,2,0.0386324959561617
0,3,3,0.058788714962300564
0,4,4,0.019975815101847507
0,5,5,0.0133254554476873
0,6,6,0.06942675719676222
0,7,7,0.012710852889823371
0,8,8,0.020527934690825072
0,9,9,0.015507400855057129
0,10,10,0.038381376988962865
0,11,11,0.012059870067154192
0,12,12,0.021340326246299356
0,13,13,0.0310516709292879
0,14,14,0.06678808612975333
0,15,15,0.013026629618459946
0,16,16,0.013381626855730596
0,17,17,0.07489804519540989
0,18,18,0.014181706369546108
0,19,19,0.09318006434183422
0,20,20,0.015644695648869063
0,21,21,0.04151657740014951
0,22,22,0.06328817595543967
0,23,23,0.013967976369223072
0,24,24,0.020332365709263958
0,25,25,0.02005571547889381
0,26,26,0.013314891872177012
0,27,27,0.01689306650308827
0,28,28,0.025443341584927427
0,29,29,0.027834486194318896
1,1,1,0.07160855661347629
1,2,2,0.01558497340948826
1,3,3,0.012293135112536125
1,6,6,0.014594830223071535
1,8,8,0.02773951615130413
1,10,10,0.023509431584191165
1,12,12,0.015190758443320613
1,13,13,0.06197379746648823
1,14,14,0.015725117494694935
1,15,15,0.010010059799909293
1,17,17,0.013873915423927352
1,19,19,0.013420748176146418
1,21,21,0.019383276554181067
1,22,22,0.020284787168528773
1,23,23,0.010568086100985336
1,24,24,0.016916204922842813
1,25,25,0.023355170716081876
1,27,27,0.015204197731991241
1,28,28,0.010960556708753807
1,29,29,0.03936409423368198
2,1,1,0.01820006308435773
2,2,2,0.011839338749454744
2,8,8,0.0964685219485031
2,10,10,0.019479297641297213
2,12,12,0.014679013995306142
2,13,13,0.02310311201025067
2,15,15,0.010718594705090831
2,21,21,0.010985763275248918
2,22,22,0.011003064848879505
2,23,23,0.011359111879001552
2,24,24,0.021199565250066558
2,25,25,0.02389473137595366
2,27,27,0.018344063051860766
2,29,29,0.027052472193083654
3,1,1,0.015835953003221093
3,2,2,0.022045489082845225
3,3,3,0.0831005536930779
3,4,4,0.010790698712814913
3,6,6,0.041826172687914234
3,10,10,0.01753399092668521
3,12,12,0.01059399617990275
3,13,13,0.013460600488585137
3,14,14,0.030116067999313854
3,17,17,0.06212088709389306
3,19,19,0.0569982733073948
3,21,21,0.017446987303870416
3,22,22,0.024177027894657296
3,24,24,0.010000187879266383
3,28,28,0.014795807160057852
3,29,29,0.012586170981749007
4,0,0,0.019117461098375706
4,1,1,0.03411422434613772
4,2,2,0.11660650700433084
4,3,3,0.04049102224626771
4,4,4,0.024427301218035397
4,5,5,0.016622301524488244
4,6,6,0.03284455770026519
4,7,7,0.01503392383355219
4,8,8,0.021798730664974886
4,9,9,0.01891842333682498
4,10,10,0.07373430236265917
4,11,11,0.01464562180070497
4,12,12,0.029506599502079144
4,13,13,0.03286828988812756
4,14,14,0.03081091468826262
4,15,15,0.014672464343063364
4,16,16,0.01667209805695242
4,17,17,0.03753639832140292
4,18,18,0.018173809560539423
4,19,19,0.03506118773686688
4,20,20,0.01962783984594025
4,21,21,0.026566149704888343
4,22,22,0.032738070397428966
4,23,23,0.01638318335694365
4,24,24,0.02744924261348691
4,25,25,0.022831018456723442
4,26,26,0.01681990978603419
4,27,27,0.02009306209680175
4,28,28,0.04325672826333021
4,29,29,0.031260939616831934
5,1,1,0.05360521838855692
5,2,2,0.022206909487635006
5,3,3,0.018079469988589846
5,4,4,0.010747132487980392
5,6,6,0.024490649706123028
5,8,8,0.018640300681633526
5,10,10,0.03548045278805361
5,12,12,0.015221636334766375
5,13,13,0.03372873794178543
5,14,14,0.02572995073746988
5,17,17,0.02089604990623944
5,19,19,0.019829876334297915
5,21,21,0.028160492031648585
5,22,22,0.034681819441854986
5,24,24,0.01505257954716458
5,25,25,0.016400454460502176
5,27,27,0.012878372670351166
5,28,28,0.014121300483779482
5,29,29,0.02537989406227604
6,0,0,0.022467905907089455
6,1,1,0.023376616938838083
6,2,2,0.041021517126498236
6,3,3,0.019713129769955283
6,4,4,0.032750830324633766
6,5,5,0.024339928460104368
6,6,6,0.016538640798557606
6,7,7,0.021063362077666486
6,8,8,0.021776010839190844
6,9,9,0.02863097998556462
6,10,10,0.03659906750275092
6,11,11,0.02115436781248766
6,12,12,0.12839893232543748
6,13,13,0.03154992578990037
6,14,14,0.017139297397231034
6,15,15,0.02172016424237942
6,16,16,0.026558771206116327
6,17,17,0.01826358703425665
6,18,18,0.024231264495906513
6,19,19,0.01917416873056248
6,20,20,0.03434624816519576
6,21,21,0.017402818988428447
6,22,22,0.018239884407259634
6,23,23,0.024855828881268915
6,24,24,0.047123980408035115
6,25,25,0.030354229774520663
6,26,26,0.022273101735823822
6,27,27,0.031789433771112034
6,28,28,0.02933732137725764
6,29,29,0.03438968024143545
7,0,0,0.010270087333644718
7,1,1,0.11930247928319188
7,2,2,0.021174620708514884
7,3,3,0.01813147513532662
7,4,4,0.011740721403236952
7,6,6,0.026743765606889215
7,8,8,0.026762210668441408
7,9,9,0.010673493442765818
7,10,10,0.03082414526057164
7,12,12,0.01674861030796614
7,13,13,0.04225119482625568
7,14,14,0.02914887156551378
7,15,15,0.01091989315570211
7,17,17,0.022026719578627535
7,18,18,0.010069767688209025
7,19,19,0.02017524803665404
7,20,20,0.011092724529656888
7,21,21,0.037635865175408165
7,22,22,0.043177392696462376
7,23,23,0.011620062274578652
7,24,24,0.017560776554515732
7,25,25,0.02000296554523057
7,26,26,0.01028110461185982
7,27,27,0.01538625078111561
7,28,28,0.014965737872719405
7,29,29,0.028618661080449994
8,1,1,0.016835005543037924
8,2,2,0.014683636312610143
8,3,3,0.02408253910581819
8,6,6,0.02480587349439898
8,10,10,0.014485457357349057
8,13,13,0.013230398658018559
8,14,14,0.02696988037904045
8,17,17,0.031225300681279704
8,19,19,0.0406183628487365
8,21,21,0.01717534126977401
8,22,22,0.024404916361291325
8,28,28,0.010282182676630893
8,29,29,0.01184262235807628
9,1,1,0.024685246981180544
9,2,2,0.014147673507146932
9,6,6,0.010937029925077696
9,8,8,0.015788049206486916
9,10,10,0.03145905712125994
9,12,12,0.011076812244446406
9,13,13,0.021081115819522676
9,14,14,0.011368116093538655
9,21,21,0.013066985534805918
9,22,22,0.01432887578523033
9,24,24,0.011786090674267653
9,25,25,0.0115486286801358
9,29,29,0.01588964131582638
10,0,0,0.09897262478995608
10,1,1,0.011545484911190586
10,2,2,0.02092618434519268
10,3,3,0.012758846006322226
10,4,4,0.04094797593827836
10,5,5,0.018746117168158747
10,6,6,0.011597944185527531
10,7,7,0.0133155664372429
10,8,8,0.011670298303555376
10,9,9,0.03450935868514568
10,10,10,0.0207198060427346
10,11,11,0.013874963295738516
10,12,12,0.020071433251663377
10,13,13,0.012848069529855803
10,14,14,0.011686365701273958
10,15,15,0.011208695455866441
10,16,16,0.01666731687835833
10,17,17,0.011616469720065532
10,18,18,0.026701030308419815
10,19,19,0.012373637441740075
10,20,20,0.017674915670978248
10,21,21,0.011332815021936268
10,22,22,0.01190716777365544
10,23,23,0.013105272225068918
10,24,24,0.01785513712268899
10,25,25,0.011804250912572388
10,26,26,0.0160014327748955
10,27,27,0.013273162225672616
10,28,28,0.02104836329918895
10,29,29,0.012583018515412863
11,1,1,0.01639721005887173
11,2,2,0.01957469419172115
11,3,3,0.05435862015702947
11,4,4,0.010170921132506368
11,6,6,0.02876822015135736
11,10,10,0.016132372257347736
11,12,12,0.010335451725863943
11,13,13,0.014127141064131796
11,14,14,0.028707750483910093
11,17,17,0.04526283142229088
11,19,19,0.08856807710290045
11,21,21,0.017236794644507794
11,22,22,0.023165715836207947
11,28,28,0.012736629356161716
11,29,29,0.012970289691453264
12,8,8,1.0
13,0,0,0.011164535298112885
13,1,1,0.1897558866900503
13,2,2,0.02241599103337712
13,3,3,0.01841818378422622
13,4,4,0.013069080758315022
13,5,5,0.01049685736748275
13,6,6,0.023930358037673967
13,7,7,0.011391316070066965
13,8,8,0.03532299741549804
13,9,9,0.011997327388615588
13,10,10,0.03227059441245492
13,11,11,0.01046805080503262
13,12,12,0.01975169357239562
13,13,13,0.06819588033829346
13,14,14,0.026235415537729744
13,15,15,0.013124507264459778
13,16,16,0.011033013694868558
13,17,17,0.021584553637940828
13,18,18,0.011166869741562224
13,19,19,0.020591524013097433
13,20,20,0.012942103315248473
13,21,21,0.03439163978221736
13,22,22,0.03635728431316575
13,23,23,0.013813971659136188
13,24,24,0.02126769086721764
13,25,25,0.02682546061691581
13,26,26,0.01139669683435749
13,27,27,0.019001697753484585
13,28,28,0.015912182945074082
13,29,29,0.04034323454101581
14,1,1,0.3858419301203263
14,2,2,0.019051379702355202
14,3,3,0.015534887189514394
14,4,4,0.01068050475366059
14,6,6,0.01935044190429981
14,8,8,0.026855871985010236
14,10,10,0.025778609074603272
14,12,12,0.016025751591364327
14,13,13,0.04990872142412988
14,14,14,0.020363266857617343
14,15,15,0.010751195327646585
14,17,17,0.018069748913437485
14,19,19,0.017015549333116508
14,20,20,0.010701145963004123
14,21,21,0.024450231151963236
14,22,22,0.026795542333229474
14,23,23,0.011371874333012684
14,24,24,0.017672847251435666
14,25,25,0.022890782547618282
14,27,27,0.015731322287642315
14,28,28,0.013347829652820381
14,29,29,0.03655255583050047
15,1,1,0.01602671574625118
15,2,2,0.01464725603362854
15,3,3,0.03291299188472918
15,6,6,0.0375848996576745
15,10,10,0.01437400676451179
15,13,13,0.013549234711533485
