topic_final,n
0,358
6,299
5,292
1,285
4,278
2,234
3,232
9,231
11,223
7,204
10,160
15,149
12,134
13,132
16,122
8,121
18,115
20,98
14,96
24,96
23,89
22,83
21,80
17,79
19,77
26,72
25,71
27,64
28,54
29,39
