ID,EVENT,VERSION,YEAR,TV,DATE,SHOWID,VIDEO
65,Festival Internacional de la Canción de Viña del Mar,XXXI,1990,TVN,1990-02-24,20,https://www.youtube.com/watch?v=dfzQLo6Es0g
66,Festival Internacional de la Canción de Viña del Mar,XXXII,1991,TVN,1991-02-06,29,https://www.youtube.com/watch?v=fOlHLcW99aU
67,Festival Internacional de la Canción de Viña del Mar,XXXII,1991,TVN,1991-02-07,21,https://www.youtube.com/watch?v=wlKDQDFYxag
68,Festival Internacional de la Canción de Viña del Mar,XXXII,1991,TVN,1991-02-08,30,
69,Festival Internacional de la Canción de Viña del Mar,XXXII,1991,TVN,1991-02-09,31,
70,Festival Internacional de la Canción de Viña del Mar,XXXIII,1992,TVN,1992-02-12,31,
71,Festival Internacional de la Canción de Viña del Mar,XXXIII,1992,TVN,1992-02-13,6,https://www.youtube.com/watch?v=l8wTE36q4Yo
72,Festival Internacional de la Canción de Viña del Mar,XXXIII,1992,TVN,1992-02-14,32,
73,Festival Internacional de la Canción de Viña del Mar,XXXIII,1992,TVN,1992-02-15,33,
74,Festival Internacional de la Canción de Viña del Mar,XXXIV,1993,TVN,1993-02-11,34,
75,Festival Internacional de la Canción de Viña del Mar,XXXIV,1993,TVN,1993-02-12,35,
76,Festival Internacional de la Canción de Viña del Mar,XXXIV,1993,TVN,1993-02-13,36,https://www.youtube.com/watch?v=FGMOWyK62z8
77,Festival Internacional de la Canción de Viña del Mar,XXXIV,1993,TVN,1993-02-10,37,https://www.youtube.com/watch?v=LkuRMZYgt0c
78,Festival Internacional de la Canción de Viña del Mar,XXXV,1994,Megavision,1994-02-16,29,
79,Festival Internacional de la Canción de Viña del Mar,XXXV,1994,Megavision,1994-02-17,38,https://www.youtube.com/watch?v=SUYzZtjvn80
80,Festival Internacional de la Canción de Viña del Mar,XXXV,1994,Megavision,1994-02-20,39,https://www.youtube.com/watch?v=X4cFJXnSuxQ
81,Festival Internacional de la Canción de Viña del Mar,XXXVI,1995,Megavision,1995-02-09,19,https://www.youtube.com/watch?v=WgWVd_andTM
82,Festival Internacional de la Canción de Viña del Mar,XXXVI,1995,Megavision,1995-02-10,17,https://www.youtube.com/watch?v=WTef5-TcHrY
83,Festival Internacional de la Canción de Viña del Mar,XXXVI,1995,Megavision,1995-02-11,31,https://www.youtube.com/watch?v=SrDZab-CVFY
84,Festival Internacional de la Canción de Viña del Mar,XXXVI,1995,Megavision,1995-02-12,40,https://www.youtube.com/watch?v=5v8VG5rQ--Y
85,Festival Internacional de la Canción de Viña del Mar,XXXVII,1996,Megavision,1996-02-14,41,https://www.youtube.com/watch?v=BGQIHzlUxyw
86,Festival Internacional de la Canción de Viña del Mar,XXXVII,1996,Megavision,1996-02-15,42,https://www.youtube.com/watch?v=fyttbtYuqGc
87,Festival Internacional de la Canción de Viña del Mar,XXXVII,1996,Megavision,1996-02-16,43,https://www.youtube.com/watch?v=RwU3g2QxaCI
88,Festival Internacional de la Canción de Viña del Mar,XXXVII,1996,Megavision,1996-02-17,44,
89,Festival Internacional de la Canción de Viña del Mar,XXXVII,1996,Megavision,1996-02-18,31,
90,Festival Internacional de la Canción de Viña del Mar,XXXVIII,1997,Megavision,1997-02-19,41,https://www.youtube.com/watch?v=bUuOIJSD4DE
91,Festival Internacional de la Canción de Viña del Mar,XXXVIII,1997,Megavision,1997-02-20,45,https://www.youtube.com/watch?v=ZtqiMiUWkPY
92,Festival Internacional de la Canción de Viña del Mar,XXXVIII,1997,Megavision,1997-02-21,46,https://www.youtube.com/watch?v=IQJbsLLTqKk
93,Festival Internacional de la Canción de Viña del Mar,XXXVIII,1997,Megavision,1997-02-22,29,https://www.youtube.com/watch?v=lOGtL-9mOtE
94,Festival Internacional de la Canción de Viña del Mar,XXXVIII,1997,Megavision,1997-02-23,47,https://www.youtube.com/watch?v=VoJOhHBD_RM
95,Festival Internacional de la Canción de Viña del Mar,XXXIX,1998,Megavision,1998-02-11,48,https://www.youtube.com/watch?v=Ck2SgWnd5P8
96,Festival Internacional de la Canción de Viña del Mar,XXXIX,1998,Megavision,1998-02-12,49,https://www.youtube.com/watch?v=jnt7VIfd1bQ
97,Festival Internacional de la Canción de Viña del Mar,XXXIX,1998,Megavision,1998-02-13,50,https://www.youtube.com/watch?v=PjZ3_Q4wRmA
98,Festival Internacional de la Canción de Viña del Mar,XXXIX,1998,Megavision,1998-02-14,17,https://www.youtube.com/watch?v=Lw3w1sNQT6c
99,Festival Internacional de la Canción de Viña del Mar,XXXIX,1998,Megavision,1998-02-15,41,https://www.youtube.com/watch?v=DauaFsNPFZg
100,Festival Internacional de la Canción de Viña del Mar,XL,1999,Megavision,1999-02-10,42,https://www.youtube.com/watch?v=RZYpVSGWkd0
