show,year,topic_id,topic_mass,total_mass,p_topic_show_year
Alejandra Azcárate,2018,0,0.037158048798560335,12.584688714503972,0.0029526394844979625
Alejandra Azcárate,2018,1,0.03858055222144305,12.584688714503972,0.0030656739389174244
Alejandra Azcárate,2018,2,0.18064836152937522,12.584688714503972,0.014354615010951862
Alejandra Azcárate,2018,4,2.089629274160745,12.584688714503972,0.16604536842873419
Alejandra Azcárate,2018,5,2.338348181380706,12.584688714503972,0.18580898061354012
Alejandra Azcárate,2018,6,3.498903357083459,12.584688714503972,0.27802859780321304
Alejandra Azcárate,2018,8,1.7327919331204522,12.584688714503972,0.13769048821393517
Alejandra Azcárate,2018,11,1.3456435516402316,12.584688714503972,0.10692704302565424
Alejandra Azcárate,2018,12,0.03275767951865477,12.584688714503972,0.0026029789263600327
Alejandra Azcárate,2018,17,0.0707337639653556,12.584688714503972,0.005620620864768334
Alejandra Azcárate,2018,22,0.036248092748399,12.584688714503972,0.0028803328847238573
Alejandra Azcárate,2018,23,1.0,12.584688714503972,0.07946163967071276
Alejandra Azcárate,2018,25,0.06609707939909047,12.584688714503972,0.005252182306497018
Alejandra Azcárate,2018,29,0.1171488389374991,12.584688714503972,0.009308838827493917
Alex Ortiz,2024,0,0.06309748950922797,7.633062375845277,0.008266340087682124
Alex Ortiz,2024,1,0.5187146463787596,7.633062375845277,0.06795629602349708
Alex Ortiz,2024,4,1.280484360932149,7.633062375845277,0.16775499765129975
Alex Ortiz,2024,6,0.09872174732656588,7.633062375845277,0.012933439092410605
Alex Ortiz,2024,9,2.9834959285670664,7.633062375845277,0.3908648693882417
Alex Ortiz,2024,17,0.1812067069725105,7.633062375845277,0.023739712588480434
Alex Ortiz,2024,19,2.3086656242223715,7.633062375845277,0.30245601444685066
Alex Ortiz,2024,22,0.1364923985071184,7.633062375845277,0.01788173498215431
Alex Ortiz,2024,24,0.06218347342950851,7.633062375845277,0.008146595739383353
Alison Mandel,2018,0,0.3105925512189765,11.210314752010653,0.027705961704890526
Alison Mandel,2018,4,1.0338280374098698,11.210314752010653,0.0922211427849914
Alison Mandel,2018,5,0.034802566752707605,11.210314752010653,0.0031045128992890684
Alison Mandel,2018,6,0.14329956151578246,11.210314752010653,0.012782831230504088
Alison Mandel,2018,7,0.1743431151426636,11.210314752010653,0.015552026771718774
Alison Mandel,2018,8,1.3611485462377757,11.210314752010653,0.12141929788310749
Alison Mandel,2018,9,0.07048426053372296,11.210314752010653,0.006287447060403107
Alison Mandel,2018,10,0.040804077616277995,11.210314752010653,0.003639869041942777
Alison Mandel,2018,11,1.7592880656619134,11.210314752010653,0.15693476093937256
Alison Mandel,2018,13,0.5338470678286765,11.210314752010653,0.047621059679250045
Alison Mandel,2018,17,0.1362569932009751,11.210314752010653,0.012154609055605364
Alison Mandel,2018,19,0.03193404538233089,11.210314752010653,0.002848630577174765
Alison Mandel,2018,22,0.07766469838126167,11.210314752010653,0.006927967688626399
Alison Mandel,2018,23,0.028430000194733247,11.210314752010653,0.002536057267226517
Alison Mandel,2018,24,1.0,11.210314752010653,0.08920356137374667
Alison Mandel,2018,27,1.0632588070590585,11.210314752010653,0.0948464722516694
Alison Mandel,2018,29,3.4103323578739264,11.210314752010653,0.30421379179048097
Alison Mandel,2024,4,0.43370230811396066,8.879901508260076,0.0488408917272935
Alison Mandel,2024,5,0.637077798182933,8.879901508260076,0.07174379103082662
Alison Mandel,2024,6,2.3114557279336894,8.879901508260076,0.26030195557727476
Alison Mandel,2024,11,1.0,8.879901508260076,0.11261386165936649
Alison Mandel,2024,13,1.083883432613742,8.879901508260076,0.12206029893524323
Alison Mandel,2024,21,1.0,8.879901508260076,0.11261386165936649
Alison Mandel,2024,22,0.0643648163004962,8.879901508260076,0.0072483705185946165
Alison Mandel,2024,23,0.7637829273775745,8.879901508260076,0.08601254492148414
Alison Mandel,2024,29,0.5856344977376797,8.879901508260076,0.06595056231118364
Alison Mandel,2024,31,1.0,8.879901508260076,0.11261386165936649
Arturo Ruiz-Tagle,2002,0,1.1736277525002776,8.025841539747027,0.14623111441809877
Arturo Ruiz-Tagle,2002,1,0.06208066149588584,8.025841539747027,0.007735096835445696
Arturo Ruiz-Tagle,2002,2,0.21727639747298932,8.025841539747027,0.027072101585479076
Arturo Ruiz-Tagle,2002,4,1.0354589870224107,8.025841539747027,0.12901562806771388
Arturo Ruiz-Tagle,2002,5,0.16012176424070187,8.025841539747027,0.019950775684732604
Arturo Ruiz-Tagle,2002,7,0.07784289205891033,8.025841539747027,0.009699031767996247
Arturo Ruiz-Tagle,2002,8,0.0988269512907231,8.025841539747027,0.012313593633925408
Arturo Ruiz-Tagle,2002,10,0.13673698994888286,8.025841539747027,0.017037090661671944
Arturo Ruiz-Tagle,2002,13,1.0,8.025841539747027,0.12459752600990423
Arturo Ruiz-Tagle,2002,15,1.0,8.025841539747027,0.12459752600990423
Arturo Ruiz-Tagle,2002,17,0.06386914371624633,8.025841539747027,0.007957937295415314
Arturo Ruiz-Tagle,2002,19,1.0,8.025841539747027,0.12459752600990423
Arturo Ruiz-Tagle,2002,25,1.0,8.025841539747027,0.12459752600990423
Arturo Ruiz-Tagle,2002,31,1.0,8.025841539747027,0.12459752600990423
Arturo Ruiz-Tagle,2015,0,0.08019572269737912,11.821144486030661,0.0067840912351717205
Arturo Ruiz-Tagle,2015,1,0.4647212982535534,11.821144486030661,0.039312716192812465
Arturo Ruiz-Tagle,2015,2,2.0095747020662293,11.821144486030661,0.16999831991233957
