year,n_segments
1973,12
1974,25
1976,1
1977,10
1978,13
1979,16
1980,2
1984,5
1988,14
1989,15
1990,33
1991,82
1992,10
1993,42
1994,46
1995,76
1996,87
1997,84
1998,105
1999,89
2000,144
2001,53
2002,47
2003,16
2004,72
2005,85
2006,114
2007,126
2008,75
2009,45
2010,34
2011,71
2012,133
2013,118
2014,183
2015,192
2016,344
2017,379
2018,201
2019,132
2020,257
2023,201
2024,194
2025,259
