segment_idx,show,year
202,Hermógenes Conache,1991
203,Hermógenes Conache,1991
204,Hermógenes Conache,1991
205,Hermógenes Conache,1991
206,Hermógenes Conache,1991
207,Hermógenes Conache,1991
208,Hermógenes Conache,1991
209,Hermógenes Conache,1991
210,Hermógenes Conache,1991
211,Hermógenes Conache,1991
212,Hermógenes Conache,1991
213,Hermógenes Conache,1991
214,Hermógenes Conache,1991
215,Hermógenes Conache,1991
216,Hermógenes Conache,1991
217,Hermógenes Conache,1991
218,Hermógenes Conache,1991
219,Hermógenes Conache,1991
220,Hermógenes Conache,1991
221,Hermógenes Conache,1991
222,Hermógenes Conache,1991
223,Hermógenes Conache,1991
224,Hermógenes Conache,1991
225,Hermógenes Conache,1991
226,Hermógenes Conache,1991
227,Hermógenes Conache,1991
228,Lucho Navarro,1992
229,Lucho Navarro,1992
230,Lucho Navarro,1992
231,Lucho Navarro,1992
232,Lucho Navarro,1992
233,Lucho Navarro,1992
234,Lucho Navarro,1992
235,Lucho Navarro,1992
236,Lucho Navarro,1992
237,Lucho Navarro,1992
238,Sandy,1993
239,Sandy,1993
240,Sandy,1993
241,Sandy,1993
242,Sandy,1993
243,Sandy,1993
244,Sandy,1993
245,Sandy,1993
246,Sandy,1993
247,Sandy,1993
248,Sandy,1993
249,Sandy,1993
250,Sandy,1993
251,Sandy,1993
252,Sandy,1993
253,Sandy,1993
254,Sandy,1993
255,Sandy,1993
256,Sandy,1993
257,Sandy,1993
258,Sandy,1993
259,Sandy,1993
260,Sandy,1993
261,Sandy,1993
262,Sandy,1993
263,Sandy,1993
264,Sandy,1993
265,Sandy,1993
266,Sandy,1993
267,Sandy,1993
268,Sandy,1993
269,Sandy,1993
270,Sandy,1993
271,Sandy,1993
272,Sandy,1993
273,Sandy,1993
274,Piña Colada,1993
275,Piña Colada,1993
276,Piña Colada,1993
277,Piña Colada,1993
278,Piña Colada,1993
279,Piña Colada,1993
280,Julio Sabala,1994
281,Julio Sabala,1994
282,Julio Sabala,1994
283,Julio Sabala,1994
284,"Jorge ""Chino"" Navarrete",1994
285,"Jorge ""Chino"" Navarrete",1994
286,"Jorge ""Chino"" Navarrete",1994
287,"Jorge ""Chino"" Navarrete",1994
288,"Jorge ""Chino"" Navarrete",1994
289,"Jorge ""Chino"" Navarrete",1994
290,"Jorge ""Chino"" Navarrete",1994
291,"Jorge ""Chino"" Navarrete",1994
292,"Jorge ""Chino"" Navarrete",1994
293,"Jorge ""Chino"" Navarrete",1994
294,"Jorge ""Chino"" Navarrete",1994
295,"Jorge ""Chino"" Navarrete",1994
296,"Jorge ""Chino"" Navarrete",1994
297,"Jorge ""Chino"" Navarrete",1994
298,"Jorge ""Chino"" Navarrete",1994
299,"Jorge ""Chino"" Navarrete",1994
300,"Jorge ""Chino"" Navarrete",1994
301,"Jorge ""Chino"" Navarrete",1994
302,"Jorge ""Chino"" Navarrete",1994
303,"Jorge ""Chino"" Navarrete",1994
304,"Jorge ""Chino"" Navarrete",1994
305,"Jorge ""Chino"" Navarrete",1994
306,"Jorge ""Chino"" Navarrete",1994
307,"Jorge ""Chino"" Navarrete",1994
308,"Jorge ""Chino"" Navarrete",1994
309,"Jorge ""Chino"" Navarrete",1994
310,"Jorge ""Chino"" Navarrete",1994
311,"Jorge ""Chino"" Navarrete",1994
312,"Jorge ""Chino"" Navarrete",1994
313,"Jorge ""Chino"" Navarrete",1994
314,"Jorge ""Chino"" Navarrete",1994
315,"Jorge ""Chino"" Navarrete",1994
316,"Jorge ""Chino"" Navarrete",1994
317,"Jorge ""Chino"" Navarrete",1994
318,"Jorge ""Chino"" Navarrete",1994
319,"Jorge ""Chino"" Navarrete",1994
320,"Jorge ""Chino"" Navarrete",1994
321,"Jorge ""Chino"" Navarrete",1994
322,"Jorge ""Chino"" Navarrete",1994
323,"Jorge ""Chino"" Navarrete",1994
324,"Jorge ""Chino"" Navarrete",1994
325,"Jorge ""Chino"" Navarrete",1994
326,Jappening con ja,1995
327,Jappening con ja,1995
328,Jappening con ja,1995
329,Jappening con ja,1995
330,Jappening con ja,1995
331,Jappening con ja,1995
332,Jappening con ja,1995
333,Gloria Benavides,1995
334,Gloria Benavides,1995
335,Gloria Benavides,1995
336,Gloria Benavides,1995
337,Gloria Benavides,1995
338,Gloria Benavides,1995
339,Gloria Benavides,1995
340,Gloria Benavides,1995
341,Gloria Benavides,1995
342,Gloria Benavides,1995
343,Gloria Benavides,1995
344,Gloria Benavides,1995
345,Gloria Benavides,1995
346,Gloria Benavides,1995
347,Gloria Benavides,1995
348,Gloria Benavides,1995
349,Gloria Benavides,1995
350,Gloria Benavides,1995
351,Gloria Benavides,1995
352,Paulo Iglesias,1995
353,Paulo Iglesias,1995
354,Paulo Iglesias,1995
355,Paulo Iglesias,1995
356,Paulo Iglesias,1995
357,Paulo Iglesias,1995
358,Paulo Iglesias,1995
359,Paulo Iglesias,1995
360,Paulo Iglesias,1995
361,Paulo Iglesias,1995
362,Paulo Iglesias,1995
363,Paulo Iglesias,1995
364,Paulo Iglesias,1995
365,Paulo Iglesias,1995
366,Paulo Iglesias,1995
367,Paulo Iglesias,1995
368,Paulo Iglesias,1995
369,Paulo Iglesias,1995
370,Paulo Iglesias,1995
371,Paulo Iglesias,1995
372,Paulo Iglesias,1995
373,Paulo Iglesias,1995
374,Paulo Iglesias,1995
375,Paulo Iglesias,1995
376,Paulo Iglesias,1995
377,Paulo Iglesias,1995
378,Paulo Iglesias,1995
379,Paulo Iglesias,1995
380,Paulo Iglesias,1995
381,Paulo Iglesias,1995
382,Paulo Iglesias,1995
383,El Pampero,1995
384,El Pampero,1995
385,El Pampero,1995
386,El Pampero,1995
387,El Pampero,1995
388,El Pampero,1995
389,El Pampero,1995
390,El Pampero,1995
391,El Pampero,1995
392,El Pampero,1995
393,El Pampero,1995
394,El Pampero,1995
395,El Pampero,1995
396,El Pampero,1995
397,El Pampero,1995
398,El Pampero,1995
399,El Pampero,1995
400,El Pampero,1995
401,El Pampero,1995
402,Dino Gordillo,1996
403,Dino Gordillo,1996
404,Dino Gordillo,1996
405,Dino Gordillo,1996
406,Dino Gordillo,1996
407,Dino Gordillo,1996
408,Dino Gordillo,1996
409,Dino Gordillo,1996
410,Dino Gordillo,1996
411,Dino Gordillo,1996
412,Los Indolatinos,1996
413,Los Indolatinos,1996
414,Los Indolatinos,1996
415,Los Indolatinos,1996
416,Los Indolatinos,1996
417,Los Indolatinos,1996
418,Los Indolatinos,1996
419,Los Indolatinos,1996
420,Los Indolatinos,1996
421,Los Indolatinos,1996
422,Los Indolatinos,1996
423,Los Indolatinos,1996
424,Los Indolatinos,1996
425,Los Indolatinos,1996
426,Los Indolatinos,1996
427,Los Indolatinos,1996
428,Los Indolatinos,1996
429,Los Indolatinos,1996
430,Los Indolatinos,1996
431,Los Indolatinos,1996
432,Los Indolatinos,1996
433,Los Indolatinos,1996
434,Los Indolatinos,1996
435,Los Indolatinos,1996
436,Los Indolatinos,1996
437,Dinamita Show,1996
438,Dinamita Show,1996
439,Dinamita Show,1996
440,Dinamita Show,1996
441,Dinamita Show,1996
442,Dinamita Show,1996
443,Dinamita Show,1996
444,Dinamita Show,1996
445,Dinamita Show,1996
446,Dinamita Show,1996
447,Dinamita Show,1996
448,Dinamita Show,1996
449,Dinamita Show,1996
450,Dinamita Show,1996
451,Dinamita Show,1996
452,Dinamita Show,1996
453,Dinamita Show,1996
454,Dinamita Show,1996
455,Dinamita Show,1996
456,Dinamita Show,1996
457,Dinamita Show,1996
458,Dinamita Show,1996
459,Dinamita Show,1996
460,Dinamita Show,1996
461,Dinamita Show,1996
462,Dinamita Show,1996
463,Dinamita Show,1996
464,Dinamita Show,1996
465,Dinamita Show,1996
466,Dinamita Show,1996
467,Dinamita Show,1996
468,Dinamita Show,1996
469,Dinamita Show,1996
470,Dinamita Show,1996
471,Dinamita Show,1996
472,Dinamita Show,1996
473,Dinamita Show,1996
474,Dinamita Show,1996
475,Dinamita Show,1996
476,Dinamita Show,1996
477,Dinamita Show,1996
478,Dinamita Show,1996
479,Dinamita Show,1996
480,Dinamita Show,1996
481,Dinamita Show,1996
482,Dinamita Show,1996
483,Dinamita Show,1996
484,Dinamita Show,1996
485,Dinamita Show,1996
486,Dinamita Show,1996
487,Dinamita Show,1996
488,Dinamita Show,1996
489,Dino Gordillo,1997
490,Dino Gordillo,1997
491,Dino Gordillo,1997
492,Dino Gordillo,1997
493,Dino Gordillo,1997
494,Dino Gordillo,1997
495,Dino Gordillo,1997
496,Dino Gordillo,1997
497,Dino Gordillo,1997
498,Dino Gordillo,1997
499,Dino Gordillo,1997
500,Dino Gordillo,1997
501,Dino Gordillo,1997
502,Dino Gordillo,1997
503,Dino Gordillo,1997
504,Dino Gordillo,1997
505,Dino Gordillo,1997
506,Dino Gordillo,1997
507,Dino Gordillo,1997
508,Dino Gordillo,1997
509,Dino Gordillo,1997
510,Dino Gordillo,1997
511,Dino Gordillo,1997
512,Dino Gordillo,1997
513,Dino Gordillo,1997
514,Dino Gordillo,1997
515,Dino Gordillo,1997
516,Dino Gordillo,1997
517,Dino Gordillo,1997
518,Dino Gordillo,1997
519,Dino Gordillo,1997
520,Dino Gordillo,1997
521,Dino Gordillo,1997
522,Dino Gordillo,1997
523,Gilberto Gless,1997
524,Gilberto Gless,1997
525,Jorge Pérez,1997
526,Jorge Pérez,1997
527,Jorge Pérez,1997
528,Jorge Pérez,1997
529,Palta Meléndez,1997
530,Palta Meléndez,1997
531,Palta Meléndez,1997
532,Palta Meléndez,1997
533,Palta Meléndez,1997
534,Palta Meléndez,1997
535,Palta Meléndez,1997
536,Palta Meléndez,1997
537,Palta Meléndez,1997
538,Palta Meléndez,1997
539,Palta Meléndez,1997
540,Palta Meléndez,1997
541,Palta Meléndez,1997
542,Palta Meléndez,1997
543,Palta Meléndez,1997
544,Palta Meléndez,1997
545,Palta Meléndez,1997
546,Palta Meléndez,1997
547,Palta Meléndez,1997
548,Palta Meléndez,1997
549,Palta Meléndez,1997
550,Palta Meléndez,1997
551,Palta Meléndez,1997
552,Pancho del Sur,1997
553,Pancho del Sur,1997
554,Pancho del Sur,1997
555,Pancho del Sur,1997
556,Pancho del Sur,1997
557,Pancho del Sur,1997
558,Pancho del Sur,1997
559,Pancho del Sur,1997
560,Pancho del Sur,1997
561,Pancho del Sur,1997
562,Pancho del Sur,1997
563,Pancho del Sur,1997
564,Pancho del Sur,1997
565,Pancho del Sur,1997
566,Pancho del Sur,1997
567,Pancho del Sur,1997
568,Pancho del Sur,1997
569,Pancho del Sur,1997
570,Pancho del Sur,1997
571,Pancho del Sur,1997
572,Pancho del Sur,1997
573,Melón y Melame,1998
574,Melón y Melame,1998
575,Melón y Melame,1998
576,Melón y Melame,1998
577,Melón y Melame,1998
578,Melón y Melame,1998
579,Melón y Melame,1998
580,Melón y Melame,1998
581,Melón y Melame,1998
582,Melón y Melame,1998
583,Melón y Melame,1998
584,Melón y Melame,1998
585,Melón y Melame,1998
586,Melón y Melame,1998
587,Melón y Melame,1998
588,Melón y Melame,1998
589,Melón y Melame,1998
590,Melón y Melame,1998
591,Melón y Melame,1998
592,Melón y Melame,1998
593,Melón y Melame,1998
594,Melón y Melame,1998
595,Melón y Melame,1998
596,Melón y Melame,1998
597,Óscar Gangas,1998
598,Óscar Gangas,1998
599,Óscar Gangas,1998
600,Óscar Gangas,1998
601,Óscar Gangas,1998
602,Óscar Gangas,1998
603,Óscar Gangas,1998
604,Óscar Gangas,1998
605,Óscar Gangas,1998
606,Óscar Gangas,1998
607,Óscar Gangas,1998
608,Óscar Gangas,1998
609,Óscar Gangas,1998
610,Óscar Gangas,1998
611,Óscar Gangas,1998
612,Óscar Gangas,1998
613,Sarah Sanders,1998
614,Sarah Sanders,1998
615,Sarah Sanders,1998
616,Sarah Sanders,1998
617,Sarah Sanders,1998
618,Sarah Sanders,1998
619,Sarah Sanders,1998
620,Sarah Sanders,1998
621,Sarah Sanders,1998
622,Sarah Sanders,1998
623,Sarah Sanders,1998
624,Sarah Sanders,1998
625,Sarah Sanders,1998
626,Sarah Sanders,1998
627,Sarah Sanders,1998
628,Sarah Sanders,1998
629,Sarah Sanders,1998
630,Sarah Sanders,1998
631,Sarah Sanders,1998
632,Sarah Sanders,1998
633,Gloria Benavides,1998
634,Gloria Benavides,1998
635,Gloria Benavides,1998
636,Gloria Benavides,1998
637,Gloria Benavides,1998
638,Gloria Benavides,1998
639,Gloria Benavides,1998
640,Gloria Benavides,1998
641,Gloria Benavides,1998
642,Gloria Benavides,1998
643,Gloria Benavides,1998
644,Gloria Benavides,1998
645,Gloria Benavides,1998
646,Gloria Benavides,1998
647,Gloria Benavides,1998
648,Gloria Benavides,1998
649,Gloria Benavides,1998
650,Gloria Benavides,1998
651,Gloria Benavides,1998
652,Dino Gordillo,1998
653,Dino Gordillo,1998
654,Dino Gordillo,1998
655,Dino Gordillo,1998
656,Dino Gordillo,1998
657,Dino Gordillo,1998
658,Dino Gordillo,1998
659,Dino Gordillo,1998
660,Dino Gordillo,1998
661,Dino Gordillo,1998
662,Dino Gordillo,1998
663,Dino Gordillo,1998
664,Dino Gordillo,1998
665,Dino Gordillo,1998
666,Dino Gordillo,1998
667,Dino Gordillo,1998
668,Dino Gordillo,1998
669,Dino Gordillo,1998
670,Dino Gordillo,1998
671,Dino Gordillo,1998
672,Dino Gordillo,1998
673,Dino Gordillo,1998
674,Dino Gordillo,1998
675,Dino Gordillo,1998
676,Dino Gordillo,1998
677,Dino Gordillo,1998
678,Los Indolatinos,1999
679,Los Indolatinos,1999
680,Los Indolatinos,1999
681,Los Indolatinos,1999
682,Los Indolatinos,1999
683,Los Indolatinos,1999
684,Los Indolatinos,1999
685,Los Indolatinos,1999
686,Los Indolatinos,1999
687,Los Indolatinos,1999
688,Los Indolatinos,1999
689,Los Indolatinos,1999
690,Los Indolatinos,1999
691,Los Indolatinos,1999
692,Los Indolatinos,1999
693,Los Indolatinos,1999
694,Los Indolatinos,1999
695,Los Indolatinos,1999
696,Los Indolatinos,1999
697,Los Indolatinos,1999
698,Los Indolatinos,1999
699,Los Indolatinos,1999
700,Los Indolatinos,1999
701,Los Indolatinos,1999
702,Los Indolatinos,1999
703,Los Indolatinos,1999
704,Los Indolatinos,1999
705,Los Indolatinos,1999
706,Los Indolatinos,1999
707,Los Indolatinos,1999
708,Sandy,1999
709,Sandy,1999
710,Sandy,1999
711,Sandy,1999
712,Sandy,1999
713,Sandy,1999
714,Sandy,1999
715,Sandy,1999
716,Sandy,1999
717,Sandy,1999
718,Sandy,1999
719,Sandy,1999
720,Sandy,1999
721,Sandy,1999
722,Sandy,1999
723,Sandy,1999
724,Sandy,1999
725,Sandy,1999
726,Sandy,1999
727,Sandy,1999
728,Sandy,1999
729,Sandy,1999
730,Sandy,1999
731,Sandy,1999
732,Sandy,1999
733,Sandy,1999
734,Sandy,1999
735,Sandy,1999
736,Melón y Melame,1999
737,Melón y Melame,1999
738,Melón y Melame,1999
739,Melón y Melame,1999
740,Melón y Melame,1999
741,Melón y Melame,1999
742,Melón y Melame,1999
743,Melón y Melame,1999
744,Melón y Melame,1999
745,Melón y Melame,1999
746,Melón y Melame,1999
747,Melón y Melame,1999
748,Melón y Melame,1999
749,Melón y Melame,1999
750,Melón y Melame,1999
751,Melón y Melame,1999
752,Melón y Melame,1999
753,Melón y Melame,1999
754,Melón y Melame,1999
755,Melón y Melame,1999
756,Melón y Melame,1999
757,Melón y Melame,1999
758,Melón y Melame,1999
759,Melón y Melame,1999
760,Melón y Melame,1999
761,Melón y Melame,1999
762,Melón y Melame,1999
763,Melón y Melame,1999
764,Melón y Melame,1999
765,Melón y Melame,1999
766,Melón y Melame,1999
767,Álvaro Salas,2000
768,Álvaro Salas,2000
769,Álvaro Salas,2000
770,Álvaro Salas,2000
771,Álvaro Salas,2000
772,Álvaro Salas,2000
773,Álvaro Salas,2000
774,Álvaro Salas,2000
775,Álvaro Salas,2000
776,Álvaro Salas,2000
777,Álvaro Salas,2000
778,Álvaro Salas,2000
779,Álvaro Salas,2000
780,Álvaro Salas,2000
781,Álvaro Salas,2000
782,Álvaro Salas,2000
783,Álvaro Salas,2000
784,Álvaro Salas,2000
785,Álvaro Salas,2000
786,Álvaro Salas,2000
787,Álvaro Salas,2000
788,Álvaro Salas,2000
789,Álvaro Salas,2000
790,Álvaro Salas,2000
791,Álvaro Salas,2000
792,Álvaro Salas,2000
793,Álvaro Salas,2000
794,Álvaro Salas,2000
795,Álvaro Salas,2000
796,Álvaro Salas,2000
797,Álvaro Salas,2000
798,Álvaro Salas,2000
799,Álvaro Salas,2000
800,Álvaro Salas,2000
801,Álvaro Salas,2000
802,Álvaro Salas,2000
803,Álvaro Salas,2000
804,Álvaro Salas,2000
805,Álvaro Salas,2000
806,Álvaro Salas,2000
807,Álvaro Salas,2000
808,Álvaro Salas,2000
809,"Daniel Muñoz ""El Malo""",2000
810,"Daniel Muñoz ""El Malo""",2000
811,"Daniel Muñoz ""El Malo""",2000
812,"Daniel Muñoz ""El Malo""",2000
813,"Daniel Muñoz ""El Malo""",2000
814,Memo Bunke,2000
815,Memo Bunke,2000
816,Memo Bunke,2000
817,Memo Bunke,2000
818,Memo Bunke,2000
819,Memo Bunke,2000
820,Memo Bunke,2000
821,Memo Bunke,2000
822,Memo Bunke,2000
823,Memo Bunke,2000
824,Memo Bunke,2000
825,Memo Bunke,2000
826,Memo Bunke,2000
827,Memo Bunke,2000
828,Memo Bunke,2000
829,Memo Bunke,2000
830,Memo Bunke,2000
831,Memo Bunke,2000
832,Memo Bunke,2000
833,Memo Bunke,2000
834,Memo Bunke,2000
835,Memo Bunke,2000
836,Memo Bunke,2000
837,Memo Bunke,2000
838,Memo Bunke,2000
839,Memo Bunke,2000
840,Memo Bunke,2000
841,Memo Bunke,2000
842,Memo Bunke,2000
843,Memo Bunke,2000
844,Memo Bunke,2000
845,Memo Bunke,2000
846,Memo Bunke,2000
847,Coco Legrand,2000
848,Coco Legrand,2000
849,Coco Legrand,2000
850,Coco Legrand,2000
851,Coco Legrand,2000
852,Coco Legrand,2000
853,Coco Legrand,2000
854,Coco Legrand,2000
855,Coco Legrand,2000
856,Coco Legrand,2000
857,Coco Legrand,2000
858,Coco Legrand,2000
859,Coco Legrand,2000
860,Coco Legrand,2000
861,Coco Legrand,2000
862,Coco Legrand,2000
863,Coco Legrand,2000
864,Coco Legrand,2000
865,Coco Legrand,2000
866,Coco Legrand,2000
867,Coco Legrand,2000
868,Coco Legrand,2000
869,Coco Legrand,2000
870,Coco Legrand,2000
871,Coco Legrand,2000
