Topic,Words,Frequency,Timestamp
17,"telefónica, celular, computación, superbien, computador",17,2000
18,"tata, rostro, ganador, etcétera, juntaron",11,2000
19,"escuela, matemáticas, chorito, pre, profe",17,2000
20,"viejito, viagra, farmacia, discúlpeme, remedios",25,2000
21,"mosca, maya, abeja, morías, mosca cayó",20,2000
22,"doctor, desesperada, resultado, estúpido, va matar",19,2000
23,"voy volver, círculos, volver, vaso, cm",11,2000
24,"malo loco, malo, loco dijo, regalando, loco",16,2000
25,"agua, señorita bien, pescado, minera, señorita",16,2000
26,"recuperé, billete, economía, ruperto, banco",10,2000
27,"ojo ojo, pierna, guárdelo, espejo, viernes",11,2000
28,"japón, así buenas, viuda, mejor amigo, deja",7,2000
29,"tenés hacer, mira mira, tenés, importancia, cara culo",11,2000
30,"julio, horacio, maestro, apretado, julio julio",13,2000
31,"toco, cabro chico, llega cabro, chico, cabro",19,2000
0,"perro, perrito, sale, gallo, mono",116,2010
1,"dale, paul, canción, luis, hola",90,2010
2,"chileno, chile, chilenos, argentino, argentina",128,2010
3,"checho, piñera, chile, presidente, bachelet",129,2010
4,"abuela, abuelita, vieja, suegra, supermercado",98,2010
5,"hombres, mujeres, mujer, hombre, baño",136,2010
6,"guagua, hijos, embarazada, mamá, papás",79,2010
7,"metro, avión, auto, taxi, borracho",58,2010
8,"amante, soltera, marido, mujer, valiente",75,2010
9,"olla, comida, pan, leche, italiana",52,2010
10,"bailar, baile, música, permiso, permiso permiso",47,2010
11,"dormir, llaves, cama, mañana, luz",81,2010
12,"marihuana, droga, chimbombo, fumar, jugo",36,2010
13,"almas, gimnasio, casting, pasó bien, engel",42,2010
14,"carabinero, carabineros, robo, pas, bombero",41,2010
15,"dichato, fome, show, giro, hey",29,2010
16,"juan pérez, pérez, juan, infierno, cielo",30,2010
17,"celular, teléfono, llamar, tablet, aló",45,2010
18,"emocionante, temuco, mineros, minero, ciudad",34,2010
19,"colegio, mírala, profe, profesor, zumba",44,2010
20,"farmacia, viagra, cajas, cruz, dos cajas",24,2010
21,"tenis, toallita, bachata, fogata, pam",16,2010
22,"doctor, ginecólogo, plan, hospital, cáncer",54,2010
23,"zapatilla, papá, hija, tac, papá mamá",27,2010
24,"plata, colorín, colorín colorín, living, separé",45,2010
25,"agua, llovió, pescar, seco, agua gas",31,2010
26,"pesos, tarjeta, lucas, deuda, crisis",41,2010
27,"espejo, hermana, bonita, andrés, marido",30,2010
28,"terremoto, noticias, ta, ta ta, iglesia",39,2010
29,"amiga, grupo whatsapp, whatsapp, grupo, guasos",45,2010
30,"farca, facebook, deporte, instagram, mandar",19,2010
31,"niño, cabro chico, cabro, gato, chico",26,2010
0,"leona, mamá leona, ensalada, trono, compré",38,2020
1,"canción, música, gusta, reggaeton, silencio",73,2020
2,"chileno, chile, the, gringo, chilenos",73,2020
3,"presidente, piñera, chile, saben, gobierno",59,2020
4,"tiktok, obsoleto, tía, dice viejo, envejecer",36,2020
5,"mujeres, flaite, podés, hombres, sociedad",36,2020
6,"hijos, maternidad, hija, mamá, guagua",82,2020
